"","dataset","state","year","quarter","setting","underlying_cause_of_death","drug","characteristic","level","count","crude_rate","age_adjusted_rate","population","qtr","qdate","year_quarter"
"26","CDC WONDER","Montana",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",10,NA,NA,NA,1,2022,"2022 NA"
"27","CDC WONDER","Nevada",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",48,NA,NA,NA,1,2022,"2022 NA"
"28","CDC WONDER","New Hampshire",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",37,NA,NA,NA,1,2022,"2022 NA"
"29","CDC WONDER","New Jersey",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",160,NA,NA,NA,1,2022,"2022 NA"
"30","CDC WONDER","New Mexico",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",44,NA,NA,NA,1,2022,"2022 NA"
"31","CDC WONDER","New York",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",340,NA,NA,NA,1,2022,"2022 NA"
"32","CDC WONDER","North Carolina",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",224,NA,NA,NA,1,2022,"2022 NA"
"33","CDC WONDER","North Dakota",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",12,NA,NA,NA,1,2022,"2022 NA"
"34","CDC WONDER","Ohio",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",337,NA,NA,NA,1,2022,"2022 NA"
"35","CDC WONDER","Oklahoma",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",60,NA,NA,NA,1,2022,"2022 NA"
"36","CDC WONDER","Oregon",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",88,NA,NA,NA,1,2022,"2022 NA"
"37","CDC WONDER","Pennsylvania",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",319,NA,NA,NA,1,2022,"2022 NA"
"38","CDC WONDER","Rhode Island",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",68,NA,NA,NA,1,2022,"2022 NA"
"39","CDC WONDER","South Carolina",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",137,NA,NA,NA,1,2022,"2022 NA"
"40","CDC WONDER","Tennessee",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",207,NA,NA,NA,1,2022,"2022 NA"
"41","CDC WONDER","Texas",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",231,NA,NA,NA,1,2022,"2022 NA"
"42","CDC WONDER","Utah",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",38,NA,NA,NA,1,2022,"2022 NA"
"43","CDC WONDER","Vermont",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",16,NA,NA,NA,1,2022,"2022 NA"
"44","CDC WONDER","Virginia",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",141,NA,NA,NA,1,2022,"2022 NA"
"45","CDC WONDER","Washington",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",217,NA,NA,NA,1,2022,"2022 NA"
"46","CDC WONDER","West Virginia",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",93,NA,NA,NA,1,2022,"2022 NA"
"47","CDC WONDER","Wisconsin",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",123,NA,NA,NA,1,2022,"2022 NA"
