Intent,Sex,Year,Age Group,Estimated Number,Population,Crude Rate,Age-Adjusted Rate,Cases (Sample),Standard Error,CV,Lower 95% CI,Upper 95% CI
Self-Harm,Males,2018,10 to 14,"9,121","10,663,948",85.53,--,295,"1,554",17.00%,"6,074","12,168"
Self-Harm,Males,2018,15 to 19,"27,330","10,762,990",253.93,--,582,"3,468",12.70%,"20,534","34,126"
Self-Harm,Males,2017,5 to 9,--,"10,382,200",--,--,--,--,--,--,--
Self-Harm,Males,2017,10 to 14,"6,570","10,609,152",61.93,--,241,"1,301",19.80%,"4,019","9,121"
Self-Harm,Males,2017,15 to 19,"23,469","10,783,133",217.64,--,560,"2,475",10.50%,"18,618","28,320"
Self-Harm,Males,2016,0 to 4,--,"10,194,209",--,--,--,--,--,--,--
Self-Harm,Males,2016,5 to 9,--,"10,442,552",--,--,--,--,--,--,--
Self-Harm,Males,2016,10 to 14,"5,386","10,529,234",51.15,--,190,"1,076",20.00%,"3,277","7,494"
Self-Harm,Males,2016,15 to 19,"25,796","10,804,809",238.74,--,496,"3,233",12.50%,"19,459","32,133"
Self-Harm,Males,2015,0 to 4,--,"10,190,134",--,--,--,--,--,--,--
Self-Harm,Males,2015,5 to 9,--,"10,460,866",--,--,--,--,--,--,--
Self-Harm,Males,2015,10 to 14,"4,642","10,517,252",44.14,--,180,"1,081",23.30%,"2,523","6,761"
Self-Harm,Males,2015,15 to 19,"27,696","10,787,033",256.75,--,531,"3,300",11.90%,"21,228","34,164"
Self-Harm,Males,2014,0 to 4,--,"10,162,862",--,--,--,--,--,--,--
Self-Harm,Males,2014,5 to 9,--,"10,480,153",--,--,--,--,--,--,--
Self-Harm,Males,2014,10 to 14,"4,904","10,551,032",46.48,--,175,"1,020",20.80%,"2,904","6,904"
Self-Harm,Males,2014,15 to 19,"24,051","10,778,182",223.15,--,467,"3,630",15.10%,"16,937","31,165"
Self-Harm,Males,2013,0 to 4,--,"10,144,661",--,--,--,--,--,--,--
Self-Harm,Males,2013,5 to 9,--,"10,506,663",--,--,--,--,--,--,--
Self-Harm,Males,2013,10 to 14,"6,079","10,547,243",57.64,--,158,"1,118",18.40%,"3,889","8,270"
Self-Harm,Males,2013,15 to 19,"23,465","10,850,915",216.25,--,495,"3,354",14.30%,"16,890","30,039"
Self-Harm,Males,2012,0 to 4,--,"10,206,895",--,--,--,--,--,--,--
Self-Harm,Males,2012,5 to 9,--,"10,454,564",--,--,--,--,--,--,--
Self-Harm,Males,2012,10 to 14,"4,281","10,562,254",40.53,--,118,706,16.50%,"2,898","5,665"
Self-Harm,Males,2012,15 to 19,"25,679","10,962,987",234.23,--,488,"3,043",11.90%,"19,714","31,643"
Self-Harm,Males,2011,0 to 4,--,"10,281,339",--,--,--,--,--,--,--
Self-Harm,Males,2011,5 to 9,--,"10,382,888",--,--,--,--,--,--,--
Self-Harm,Males,2011,10 to 14,"4,647","10,587,916",43.89,--,130,754,16.20%,"3,170","6,124"
Self-Harm,Males,2011,15 to 19,"24,653","11,121,013",221.68,--,450,"3,282",13.30%,"18,221","31,084"
Self-Harm,Males,2010,0 to 4,--,"10,319,452",--,--,--,--,--,--,--
Self-Harm,Males,2010,5 to 9,--,"10,389,675",--,--,--,--,--,--,--
Self-Harm,Males,2010,10 to 14,"5,212","10,579,975",49.26,--,127,"1,107",21.20%,"3,042","7,383"
Self-Harm,Males,2010,15 to 19,"22,806","11,304,511",201.74,--,357,"3,160",13.90%,"16,612","29,000"
Self-Harm,Males,2009,5 to 9,--,"10,307,755",--,--,--,--,--,--,--
Self-Harm,Males,2009,10 to 14,"2,734","10,571,832",25.86,--,76,506,18.50%,"1,742","3,726"
Self-Harm,Males,2009,15 to 19,"19,133","11,388,239",168.01,--,361,"2,738",14.30%,"13,767","24,498"
Self-Harm,Males,2008,5 to 9,--,"10,181,114",--,--,--,--,--,--,--
Self-Harm,Males,2008,10 to 14,"3,037","10,598,181",28.66,--,87,570,18.80%,"1,919","4,155"
Self-Harm,Males,2008,15 to 19,"20,692","11,405,732",181.42,--,375,"2,812",13.60%,"15,180","26,204"
Self-Harm,Males,2007,5 to 9,--,"10,073,928",--,--,--,--,--,--,--
Self-Harm,Males,2007,10 to 14,"4,464","10,670,960",41.83,--,91,879,19.70%,"2,741","6,186"
Self-Harm,Males,2007,15 to 19,"23,733","11,336,490",209.35,--,416,"3,030",12.80%,"17,793","29,673"
Self-Harm,Males,2006,5 to 9,--,"9,989,515",--,--,--,--,--,--,--
Self-Harm,Males,2006,10 to 14,"4,399","10,771,194",40.84,--,91,874,19.90%,"2,686","6,112"
Self-Harm,Males,2006,15 to 19,"25,788","11,210,416",230.03,--,415,"3,290",12.80%,"19,340","32,235"
Self-Harm,Males,2005,0 to 4,--,"10,175,595",--,--,--,--,--,--,--
Self-Harm,Males,2005,5 to 9,--,"9,915,167",--,--,--,--,--,--,--
Self-Harm,Males,2005,10 to 14,"5,310","10,864,197",48.87,--,109,"1,114",21.00%,"3,127","7,493"
Self-Harm,Males,2005,15 to 19,"21,739","11,051,425",196.71,--,397,"2,686",12.40%,"16,476","27,003"
Self-Harm,Males,2004,0 to 4,--,"10,110,494",--,--,--,--,--,--,--
Self-Harm,Males,2004,5 to 9,--,"9,951,006",--,--,--,--,--,--,--
Self-Harm,Males,2004,10 to 14,"5,674","10,967,974",51.74,--,124,"1,025",18.10%,"3,666","7,683"
Self-Harm,Males,2004,15 to 19,"24,591","10,859,759",226.44,--,444,"2,985",12.10%,"18,740","30,442"
Self-Harm,Males,2003,0 to 4,--,"10,013,119",--,--,--,--,--,--,--
Self-Harm,Males,2003,5 to 9,--,"10,039,604",--,--,--,--,--,--,--
Self-Harm,Males,2003,10 to 14,"4,192","10,970,478",38.21,--,88,960,22.90%,"2,311","6,074"
Self-Harm,Males,2003,15 to 19,"22,269","10,710,599",207.92,--,367,"2,782",12.50%,"16,817","27,721"
Self-Harm,Males,2002,5 to 9,--,"10,172,682",--,--,--,--,--,--,--
Self-Harm,Males,2002,10 to 14,"4,661","10,889,999",42.8,--,97,899,19.30%,"2,899","6,423"
Self-Harm,Males,2002,15 to 19,"23,019","10,628,491",216.58,--,428,"2,730",11.90%,"17,667","28,370"
Self-Harm,Males,2001,0 to 4,--,"9,866,776",--,--,--,--,--,--,--
Self-Harm,Males,2001,5 to 9,--,"10,329,064",--,--,--,--,--,--,--
Self-Harm,Males,2001,10 to 14,"3,640","10,747,209",33.87,--,93,687,18.90%,"2,293","4,987"
Self-Harm,Males,2001,15 to 19,"22,543","10,547,387",213.73,--,387,"3,307",14.70%,"16,061","29,026"
Self-Harm,Females,2022,5 to 9,--,"9,777,249",--,--,--,--,--,--,--
Self-Harm,Females,2022,10 to 14,"64,620","10,187,986",634.28,--,"2,502","12,214",18.90%,"40,682","88,559"
Self-Harm,Females,2022,15 to 19,"92,376","10,553,749",875.29,--,"2,774","13,124",14.20%,"66,652","118,099"
Self-Harm,Females,2021,5 to 9,--,"9,799,703",--,--,--,--,--,--,--
Self-Harm,Females,2021,10 to 14,"61,594","10,335,010",595.98,--,"1,871","9,480",15.40%,"43,014","80,175"
Self-Harm,Females,2021,15 to 19,"83,092","10,538,116",788.49,--,"2,145","10,258",12.30%,"62,987","103,197"
Self-Harm,Females,2020,5 to 9,--,"9,809,421",--,--,--,--,--,--,--
Self-Harm,Females,2020,10 to 14,"45,248","10,452,299",432.9,--,"1,484","6,468",14.30%,"32,571","57,925"
Self-Harm,Females,2020,15 to 19,"69,293","10,724,511",646.11,--,"1,770","9,824",14.20%,"50,038","88,547"
Self-Harm,Females,2019,5 to 9,--,"9,886,447",--,--,--,--,--,--,--
Self-Harm,Females,2019,10 to 14,"39,111","10,190,891",383.78,--,"1,329","5,247",13.40%,"28,827","49,395"
Self-Harm,Females,2019,15 to 19,"71,133","10,313,575",689.7,--,"1,646","6,510",9.20%,"58,374","83,892"
Self-Harm,Females,2018,5 to 9,--,"9,888,217",--,--,--,--,--,--,--
Self-Harm,Females,2018,10 to 14,"35,133","10,223,894",343.64,--,"1,168","5,431",15.50%,"24,488","45,779"
Self-Harm,Females,2018,15 to 19,"70,779","10,314,076",686.24,--,"1,587","7,659",10.80%,"55,768","85,790"
Self-Harm,Females,2017,0 to 4,--,"9,721,892",--,--,--,--,--,--,--
Self-Harm,Females,2017,5 to 9,--,"9,948,106",--,--,--,--,--,--,--
Self-Harm,Females,2017,10 to 14,"34,545","10,174,304",339.53,--,"1,119","4,494",13.00%,"25,738","43,352"
Self-Harm,Females,2017,15 to 19,"68,065","10,322,453",659.39,--,"1,543","7,014",10.30%,"54,317","81,813"
Self-Harm,Females,2016,0 to 4,--,"9,742,528",--,--,--,--,--,--,--
Self-Harm,Females,2016,5 to 9,--,"10,008,005",--,--,--,--,--,--,--
Self-Harm,Females,2016,10 to 14,"31,133","10,104,766",308.1,--,927,"3,965",12.70%,"23,362","38,904"
Self-Harm,Females,2016,15 to 19,"71,346","10,335,334",690.31,--,"1,532","7,826",11.00%,"56,008","86,684"
Self-Harm,Females,2015,5 to 9,--,"10,029,953",--,--,--,--,--,--,--
Self-Harm,Females,2015,10 to 14,"32,095","10,097,361",317.86,--,"1,033","3,820",11.90%,"24,608","39,582"
Self-Harm,Females,2015,15 to 19,"65,212","10,303,239",632.93,--,"1,356","6,602",10.10%,"52,272","78,152"
Self-Harm,Females,2014,0 to 4,--,"9,715,944",--,--,--,--,--,--,--
Self-Harm,Females,2014,5 to 9,--,"10,046,117",--,--,--,--,--,--,--
Self-Harm,Females,2014,10 to 14,"31,878","10,122,728",314.92,--,973,"4,969",15.60%,"22,139","41,617"
Self-Harm,Females,2014,15 to 19,"60,081","10,282,180",584.33,--,"1,272","5,957",9.90%,"48,406","71,757"
Self-Harm,Females,2013,5 to 9,--,"10,068,928",--,--,--,--,--,--,--
Self-Harm,Females,2013,10 to 14,"28,160","10,109,744",278.55,--,673,"4,170",14.80%,"19,988","36,333"
Self-Harm,Females,2013,15 to 19,"58,507","10,332,561",566.24,--,"1,239","7,111",12.20%,"44,569","72,444"
Self-Harm,Females,2012,0 to 4,--,"9,774,041",--,--,--,--,--,--,--
Self-Harm,Females,2012,5 to 9,--,"10,018,115",--,--,--,--,--,--,--
Self-Harm,Females,2012,10 to 14,"20,302","10,111,589",200.77,--,534,"2,525",12.40%,"15,352","25,251"
Self-Harm,Females,2012,15 to 19,"56,730","10,411,033",544.91,--,"1,165","5,691",10.00%,"45,576","67,884"
Self-Harm,Females,2011,0 to 4,--,"9,844,872",--,--,--,--,--,--,--
Self-Harm,Females,2011,5 to 9,--,"9,952,601",--,--,--,--,--,--,--
Self-Harm,Females,2011,10 to 14,"18,454","10,127,110",182.23,--,424,"2,565",13.90%,"13,427","23,481"
Self-Harm,Females,2011,15 to 19,"55,588","10,540,730",527.36,--,"1,070","6,359",11.40%,"43,125","68,051"
Self-Harm,Females,2010,0 to 4,--,"9,881,974",--,--,--,--,--,--,--
Self-Harm,Females,2010,5 to 9,--,"9,959,069",--,--,--,--,--,--,--
Self-Harm,Females,2010,10 to 14,"15,598","10,097,402",154.47,--,350,"2,452",15.70%,"10,791","20,404"
Self-Harm,Females,2010,15 to 19,"48,838","10,737,036",454.85,--,902,"5,896",12.10%,"37,282","60,394"
Self-Harm,Females,2009,0 to 4,--,"9,902,429",--,--,--,--,--,--,--
Self-Harm,Females,2009,5 to 9,--,"9,874,744",--,--,--,--,--,--,--
Self-Harm,Females,2009,10 to 14,"11,080","10,088,732",109.82,--,324,"2,092",18.90%,"6,979","15,181"
Self-Harm,Females,2009,15 to 19,"41,839","10,804,571",387.23,--,892,"5,426",13.00%,"31,203","52,475"
Self-Harm,Females,2008,0 to 4,--,"9,914,183",--,--,--,--,--,--,--
Self-Harm,Females,2008,5 to 9,--,"9,748,488",--,--,--,--,--,--,--
Self-Harm,Females,2008,10 to 14,"12,368","10,108,474",122.35,--,291,"1,762",14.20%,"8,914","15,822"
Self-Harm,Females,2008,15 to 19,"43,786","10,805,148",405.24,--,893,"5,047",11.50%,"33,894","53,679"
Self-Harm,Females,2007,5 to 9,--,"9,640,683",--,--,--,--,--,--,--
Self-Harm,Females,2007,10 to 14,"15,614","10,170,082",153.53,--,306,"2,117",13.60%,"11,465","19,764"
Self-Harm,Females,2007,15 to 19,"45,572","10,731,326",424.67,--,880,"4,982",10.90%,"35,808","55,337"
Self-Harm,Females,2006,5 to 9,--,"9,555,173",--,--,--,--,--,--,--
Self-Harm,Females,2006,10 to 14,"15,378","10,261,944",149.85,--,311,"2,316",15.10%,"10,839","19,917"
Self-Harm,Females,2006,15 to 19,"46,026","10,597,293",434.32,--,774,"6,220",13.50%,"33,835","58,216"
Self-Harm,Females,2005,5 to 9,--,"9,473,900",--,--,--,--,--,--,--
Self-Harm,Females,2005,10 to 14,"13,339","10,348,382",128.9,--,339,"1,634",12.20%,"10,137","16,542"
Self-Harm,Females,2005,15 to 19,"45,590","10,434,789",436.9,--,847,"4,863",10.70%,"36,059","55,121"
Self-Harm,Females,2004,0 to 4,--,"9,675,391",--,--,--,--,--,--,--
Self-Harm,Females,2004,5 to 9,--,"9,503,231",--,--,--,--,--,--,--
Self-Harm,Females,2004,10 to 14,"17,115","10,443,706",163.88,--,364,"2,173",12.70%,"12,857","21,374"
Self-Harm,Females,2004,15 to 19,"52,219","10,242,793",509.81,--,898,"6,200",11.90%,"40,067","64,371"
Self-Harm,Females,2003,0 to 4,--,"9,579,327",--,--,--,--,--,--,--
Self-Harm,Females,2003,5 to 9,--,"9,581,247",--,--,--,--,--,--,--
Self-Harm,Females,2003,10 to 14,"15,617","10,444,875",149.52,--,326,"2,219",14.20%,"11,268","19,965"
Self-Harm,Females,2003,15 to 19,"44,720","10,086,567",443.36,--,763,"5,541",12.40%,"33,859","55,580"
Self-Harm,Females,2002,5 to 9,--,"9,699,735",--,--,--,--,--,--,--
Self-Harm,Females,2002,10 to 14,"12,812","10,371,422",123.53,--,307,"2,022",15.80%,"8,848","16,776"
Self-Harm,Females,2002,15 to 19,"35,090","9,981,879",351.54,--,728,"4,418",12.60%,"26,430","43,750"
Self-Harm,Females,2001,0 to 4,--,"9,431,441",--,--,--,--,--,--,--
Self-Harm,Females,2001,5 to 9,--,"9,844,298",--,--,--,--,--,--,--
Self-Harm,Females,2001,10 to 14,"12,218","10,231,469",119.42,--,286,"2,126",17.40%,"8,051","16,385"
Self-Harm,Females,2001,15 to 19,"38,572","9,908,897",389.26,--,725,"5,946",15.40%,"26,918","50,225"
Total,,,,"2,548,542","1,806,885,553",141.05,137.63,"60,166","191,915",7.50%,2.17 M,2.92 M
,,,,,,,,,,,,
Injury Outcome: Nonfatal All Injuries,,,,,,,,,,,,
Data Years: 2001 to 2022,,,,,,,,,,,,
Geography: United States,,,,,,,,,,,,
Disposition: All Cases,,,,,,,,,,,,
Intent: Self-Harm,,,,,,,,,,,,
Mechanism: All Causes,,,,,,,,,,,,
Age: 0 to 4 through 15 to 19,,,,,,,,,,,,
"Sex: Males, Females",,,,,,,,,,,,
Race: ,,,,,,,,,,,,
Ethnicity: ,,,,,,,,,,,,
Year and Race Options: ,,,,,,,,,,,,
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);",,,,,,,,,,,,
--* indicates secondary suppression.,,,,,,,,,,,,
"ᵅ CDC does not recommend using NEISS-AIP data for nonfatal firearm injury prevalence estimates at this time. Firearm injuries have distinct geographic patterns, and estimates can be imprecise or change over time when based on a small number of facilities. CDC is working with CPSC to update and expand the NEISS hospital sample (Go to “About Nonfatal Injury Data” to learn more).",,,,,,,,,,,,
Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.,,,,,,,,,,,,
Reports for All Ages include those of unknown age.,,,,,,,,,,,,
Data sources:,,,,,,,,,,,,
National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.,,,,,,,,,,,,
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.",,,,,,,,,,,,
"Produced by: National Center for Injury Prevention and Control, CDC.",,,,,,,,,,,,
