week_end,geography,pathogen,demographics_type,demographics_values,percent_visits
2/25/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.3
2/25/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.3
2/25/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.5
2/25/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.5
2/25/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.4
2/25/2023,United States,RSV,Sex,Male,0.1
2/25/2023,United States,RSV,Sex,Invalid,0
2/25/2023,United States,RSV,Sex,Other,0
2/25/2023,United States,RSV,Sex,Female,0.1
2/25/2023,United States,RSV,Age Group,18-64 years,0
2/25/2023,United States,RSV,Age Group,65+ years,0.1
2/25/2023,United States,RSV,Age Group,5-17 years,0
2/25/2023,United States,RSV,Age Group,0-4 years,0.7
2/25/2023,United States,RSV,Race/Ethnicity,Hispanic,0.1
2/25/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.1
2/25/2023,United States,RSV,Race/Ethnicity,"White, NH",0.1
2/25/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.1
2/25/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.3
2/25/2023,United States,RSV,Race/Ethnicity,"Black, NH",0
5/25/2024,United States,COVID-19,Sex,Male,0.4
5/25/2024,United States,COVID-19,Sex,Invalid,0
5/25/2024,United States,COVID-19,Sex,Other,0
5/25/2024,United States,COVID-19,Sex,Female,0.4
5/25/2024,United States,COVID-19,Age Group,18-64 years,0.3
5/25/2024,United States,COVID-19,Age Group,65+ years,0.7
5/25/2024,United States,COVID-19,Age Group,5-17 years,0.2
5/25/2024,United States,COVID-19,Age Group,0-4 years,0.6
5/25/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.5
5/25/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
5/25/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.4
5/25/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.9
5/25/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.4
5/25/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
5/25/2024,United States,Combined,Sex,Male,0.7
5/25/2024,United States,Combined,Sex,Invalid,0
5/25/2024,United States,Combined,Sex,Other,0
5/25/2024,United States,Combined,Sex,Female,0.7
5/25/2024,United States,Combined,Age Group,18-64 years,0.5
5/25/2024,United States,Combined,Age Group,65+ years,0.9
5/25/2024,United States,Combined,Age Group,5-17 years,0.7
5/25/2024,United States,Combined,Age Group,0-4 years,1.4
5/25/2024,United States,Combined,Race/Ethnicity,Hispanic,0.9
5/25/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",0.7
5/25/2024,United States,Combined,Race/Ethnicity,"White, NH",0.6
5/25/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.4
5/25/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",0.8
5/25/2024,United States,Combined,Race/Ethnicity,"Black, NH",0.7
5/25/2024,United States,Influenza,Sex,Male,0.3
5/25/2024,United States,Influenza,Sex,Invalid,0
5/25/2024,United States,Influenza,Sex,Other,0
5/25/2024,United States,Influenza,Sex,Female,0.3
5/25/2024,United States,Influenza,Age Group,18-64 years,0.2
5/25/2024,United States,Influenza,Age Group,65+ years,0.2
5/25/2024,United States,Influenza,Age Group,5-17 years,0.6
5/25/2024,United States,Influenza,Age Group,0-4 years,0.6
5/25/2024,United States,Influenza,Race/Ethnicity,Hispanic,0.4
5/25/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.3
5/25/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.2
5/25/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.5
5/25/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.3
5/25/2024,United States,Influenza,Race/Ethnicity,"Black, NH",0.3
5/25/2024,United States,RSV,Sex,Male,0
5/25/2024,United States,RSV,Sex,Invalid,0
5/25/2024,United States,RSV,Sex,Other,0
5/25/2024,United States,RSV,Sex,Female,0
5/25/2024,United States,RSV,Age Group,18-64 years,0
5/25/2024,United States,RSV,Age Group,65+ years,0
5/25/2024,United States,RSV,Age Group,5-17 years,0
5/25/2024,United States,RSV,Age Group,0-4 years,0.2
5/25/2024,United States,RSV,Race/Ethnicity,Hispanic,0
5/25/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0
5/25/2024,United States,RSV,Race/Ethnicity,"White, NH",0
5/25/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0
5/25/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0
5/25/2024,United States,RSV,Race/Ethnicity,"Black, NH",0
11/2/2024,United States,COVID-19,Sex,Male,0.5
11/2/2024,United States,COVID-19,Sex,Invalid,0
11/2/2024,United States,COVID-19,Sex,Other,2.4
11/2/2024,United States,COVID-19,Sex,Female,0.6
11/2/2024,United States,COVID-19,Age Group,18-64 years,0.4
11/2/2024,United States,COVID-19,Age Group,65+ years,1
11/2/2024,United States,COVID-19,Age Group,5-17 years,0.2
11/2/2024,United States,COVID-19,Age Group,0-4 years,0.8
11/2/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.4
11/2/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
11/2/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
11/2/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
11/2/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
11/2/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
11/2/2024,United States,Combined,Sex,Male,1.1
11/2/2024,United States,Combined,Sex,Invalid,0
11/2/2024,United States,Combined,Sex,Other,2.4
11/2/2024,United States,Combined,Sex,Female,1.1
11/2/2024,United States,Combined,Age Group,18-64 years,0.7
11/2/2024,United States,Combined,Age Group,65+ years,1.2
11/2/2024,United States,Combined,Age Group,5-17 years,1.3
11/2/2024,United States,Combined,Age Group,0-4 years,3.8
11/2/2024,United States,Combined,Race/Ethnicity,Hispanic,1.3
11/2/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",0.9
11/2/2024,United States,Combined,Race/Ethnicity,"White, NH",1
11/2/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.1
11/2/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",1.3
11/2/2024,United States,Combined,Race/Ethnicity,"Black, NH",1.1
11/2/2024,United States,Influenza,Sex,Male,0.3
11/2/2024,United States,Influenza,Sex,Invalid,0
11/2/2024,United States,Influenza,Sex,Other,0
11/2/2024,United States,Influenza,Sex,Female,0.3
11/2/2024,United States,Influenza,Age Group,18-64 years,0.3
11/2/2024,United States,Influenza,Age Group,65+ years,0.2
11/2/2024,United States,Influenza,Age Group,5-17 years,0.9
11/2/2024,United States,Influenza,Age Group,0-4 years,0.9
11/2/2024,United States,Influenza,Race/Ethnicity,Hispanic,0.5
11/2/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.3
11/2/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.2
11/2/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.4
11/2/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.5
11/2/2024,United States,Influenza,Race/Ethnicity,"Black, NH",0.4
11/2/2024,United States,RSV,Sex,Male,0.2
11/2/2024,United States,RSV,Sex,Invalid,0
11/2/2024,United States,RSV,Sex,Other,0
11/2/2024,United States,RSV,Sex,Female,0.2
11/2/2024,United States,RSV,Age Group,18-64 years,0
11/2/2024,United States,RSV,Age Group,65+ years,0
11/2/2024,United States,RSV,Age Group,5-17 years,0.1
11/2/2024,United States,RSV,Age Group,0-4 years,2.2
11/2/2024,United States,RSV,Race/Ethnicity,Hispanic,0.3
11/2/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.2
11/2/2024,United States,RSV,Race/Ethnicity,"White, NH",0.1
11/2/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.2
11/2/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.1
11/2/2024,United States,RSV,Race/Ethnicity,"Black, NH",0.3
4/20/2024,United States,COVID-19,Sex,Male,0.4
4/20/2024,United States,COVID-19,Sex,Invalid,0
4/20/2024,United States,COVID-19,Sex,Other,0
4/20/2024,United States,COVID-19,Sex,Female,0.4
4/20/2024,United States,COVID-19,Age Group,18-64 years,0.3
4/20/2024,United States,COVID-19,Age Group,65+ years,0.6
4/20/2024,United States,COVID-19,Age Group,5-17 years,0.2
4/20/2024,United States,COVID-19,Age Group,0-4 years,0.6
4/20/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.3
4/20/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.3
4/20/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.4
4/20/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
4/20/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.4
4/20/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.3
4/20/2024,United States,Combined,Sex,Male,1.1
4/20/2024,United States,Combined,Sex,Invalid,0
4/20/2024,United States,Combined,Sex,Other,0
4/20/2024,United States,Combined,Sex,Female,1.1
4/20/2024,United States,Combined,Age Group,18-64 years,0.8
4/20/2024,United States,Combined,Age Group,65+ years,1
4/20/2024,United States,Combined,Age Group,5-17 years,1.6
4/20/2024,United States,Combined,Age Group,0-4 years,2.4
4/20/2024,United States,Combined,Race/Ethnicity,Hispanic,1.3
4/20/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1
4/20/2024,United States,Combined,Race/Ethnicity,"White, NH",1
4/20/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.6
4/20/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",1.4
4/20/2024,United States,Combined,Race/Ethnicity,"Black, NH",1.1
4/20/2024,United States,Influenza,Sex,Male,0.6
4/20/2024,United States,Influenza,Sex,Invalid,0
4/20/2024,United States,Influenza,Sex,Other,0
4/20/2024,United States,Influenza,Sex,Female,0.7
4/20/2024,United States,Influenza,Age Group,18-64 years,0.5
4/20/2024,United States,Influenza,Age Group,65+ years,0.3
4/20/2024,United States,Influenza,Age Group,5-17 years,1.4
4/20/2024,United States,Influenza,Age Group,0-4 years,1.4
4/20/2024,United States,Influenza,Race/Ethnicity,Hispanic,0.9
4/20/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.6
4/20/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.5
4/20/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",1.1
4/20/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1
4/20/2024,United States,Influenza,Race/Ethnicity,"Black, NH",0.7
4/20/2024,United States,RSV,Sex,Male,0.1
4/20/2024,United States,RSV,Sex,Invalid,0
4/20/2024,United States,RSV,Sex,Other,0
4/20/2024,United States,RSV,Sex,Female,0
4/20/2024,United States,RSV,Age Group,18-64 years,0
4/20/2024,United States,RSV,Age Group,65+ years,0
4/20/2024,United States,RSV,Age Group,5-17 years,0
4/20/2024,United States,RSV,Age Group,0-4 years,0.4
4/20/2024,United States,RSV,Race/Ethnicity,Hispanic,0.1
4/20/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0
4/20/2024,United States,RSV,Race/Ethnicity,"White, NH",0.1
4/20/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0
4/20/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.1
4/20/2024,United States,RSV,Race/Ethnicity,"Black, NH",0
11/23/2024,United States,COVID-19,Sex,Male,0.5
11/23/2024,United States,COVID-19,Sex,Invalid,0
11/23/2024,United States,COVID-19,Sex,Other,0
11/23/2024,United States,COVID-19,Sex,Female,0.5
11/23/2024,United States,COVID-19,Age Group,18-64 years,0.4
11/23/2024,United States,COVID-19,Age Group,65+ years,0.9
11/23/2024,United States,COVID-19,Age Group,5-17 years,0.2
11/23/2024,United States,COVID-19,Age Group,0-4 years,0.7
11/23/2024,United States,COVID-19,Race/Ethnicity,Hispanic,0.4
11/23/2024,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
11/23/2024,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
11/23/2024,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
11/23/2024,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.8
11/23/2024,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
11/23/2024,United States,Combined,Sex,Male,1.6
11/23/2024,United States,Combined,Sex,Invalid,0
11/23/2024,United States,Combined,Sex,Other,0
11/23/2024,United States,Combined,Sex,Female,1.5
11/23/2024,United States,Combined,Age Group,18-64 years,0.9
11/23/2024,United States,Combined,Age Group,65+ years,1.2
11/23/2024,United States,Combined,Age Group,5-17 years,2.2
11/23/2024,United States,Combined,Age Group,0-4 years,7
11/23/2024,United States,Combined,Race/Ethnicity,Hispanic,2.2
11/23/2024,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.5
11/23/2024,United States,Combined,Race/Ethnicity,"White, NH",1.3
11/23/2024,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.6
11/23/2024,United States,Combined,Race/Ethnicity,"AI/AN, NH",2.2
11/23/2024,United States,Combined,Race/Ethnicity,"Black, NH",1.7
11/23/2024,United States,Influenza,Sex,Male,0.6
11/23/2024,United States,Influenza,Sex,Invalid,0
11/23/2024,United States,Influenza,Sex,Other,0
11/23/2024,United States,Influenza,Sex,Female,0.6
11/23/2024,United States,Influenza,Age Group,18-64 years,0.5
11/23/2024,United States,Influenza,Age Group,65+ years,0.3
11/23/2024,United States,Influenza,Age Group,5-17 years,1.6
11/23/2024,United States,Influenza,Age Group,0-4 years,1.4
11/23/2024,United States,Influenza,Race/Ethnicity,Hispanic,1.1
11/23/2024,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.6
11/23/2024,United States,Influenza,Race/Ethnicity,"White, NH",0.4
11/23/2024,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.6
11/23/2024,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1.1
11/23/2024,United States,Influenza,Race/Ethnicity,"Black, NH",0.8
11/23/2024,United States,RSV,Sex,Male,0.5
11/23/2024,United States,RSV,Sex,Invalid,0
11/23/2024,United States,RSV,Sex,Other,0
11/23/2024,United States,RSV,Sex,Female,0.4
11/23/2024,United States,RSV,Age Group,18-64 years,0.1
11/23/2024,United States,RSV,Age Group,65+ years,0.1
11/23/2024,United States,RSV,Age Group,5-17 years,0.4
11/23/2024,United States,RSV,Age Group,0-4 years,4.9
11/23/2024,United States,RSV,Race/Ethnicity,Hispanic,0.8
11/23/2024,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0.5
11/23/2024,United States,RSV,Race/Ethnicity,"White, NH",0.3
11/23/2024,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0.5
11/23/2024,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.3
11/23/2024,United States,RSV,Race/Ethnicity,"Black, NH",0.6
11/25/2023,United States,COVID-19,Sex,Male,1.8
11/25/2023,United States,COVID-19,Sex,Invalid,0.1
11/25/2023,United States,COVID-19,Sex,Other,0
11/25/2023,United States,COVID-19,Sex,Female,2
11/25/2023,United States,COVID-19,Age Group,18-64 years,1.5
11/25/2023,United States,COVID-19,Age Group,65+ years,3.1
11/25/2023,United States,COVID-19,Age Group,5-17 years,0.7
11/25/2023,United States,COVID-19,Age Group,0-4 years,2.2
11/25/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1.5
11/25/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.5
11/25/2023,United States,COVID-19,Race/Ethnicity,"White, NH",2.2
11/25/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2
11/25/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
11/25/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",1.4
11/25/2023,United States,Combined,Sex,Male,4.6
11/25/2023,United States,Combined,Sex,Invalid,0.6
11/25/2023,United States,Combined,Sex,Other,0
11/25/2023,United States,Combined,Sex,Female,4.5
11/25/2023,United States,Combined,Age Group,18-64 years,2.9
11/25/2023,United States,Combined,Age Group,65+ years,4
11/25/2023,United States,Combined,Age Group,5-17 years,6.7
11/25/2023,United States,Combined,Age Group,0-4 years,13.7
11/25/2023,United States,Combined,Race/Ethnicity,Hispanic,5.7
11/25/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",4.1
11/25/2023,United States,Combined,Race/Ethnicity,"White, NH",4.2
11/25/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",5.1
11/25/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",4.4
11/25/2023,United States,Combined,Race/Ethnicity,"Black, NH",4.9
11/25/2023,United States,Influenza,Sex,Male,1.7
11/25/2023,United States,Influenza,Sex,Invalid,0.5
11/25/2023,United States,Influenza,Sex,Other,0
11/25/2023,United States,Influenza,Sex,Female,1.7
11/25/2023,United States,Influenza,Age Group,18-64 years,1.3
11/25/2023,United States,Influenza,Age Group,65+ years,0.6
11/25/2023,United States,Influenza,Age Group,5-17 years,5.3
11/25/2023,United States,Influenza,Age Group,0-4 years,3.3
11/25/2023,United States,Influenza,Race/Ethnicity,Hispanic,2.7
11/25/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",1.6
11/25/2023,United States,Influenza,Race/Ethnicity,"White, NH",1.1
11/25/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",2
11/25/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",1.6
11/25/2023,United States,Influenza,Race/Ethnicity,"Black, NH",2.5
11/25/2023,United States,RSV,Sex,Male,1.1
11/25/2023,United States,RSV,Sex,Invalid,0.1
11/25/2023,United States,RSV,Sex,Other,0
11/25/2023,United States,RSV,Sex,Female,0.9
11/25/2023,United States,RSV,Age Group,18-64 years,0.1
11/25/2023,United States,RSV,Age Group,65+ years,0.3
11/25/2023,United States,RSV,Age Group,5-17 years,0.7
11/25/2023,United States,RSV,Age Group,0-4 years,8.5
11/25/2023,United States,RSV,Race/Ethnicity,Hispanic,1.5
11/25/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",1.2
11/25/2023,United States,RSV,Race/Ethnicity,"White, NH",0.8
11/25/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",1.2
11/25/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0.8
11/25/2023,United States,RSV,Race/Ethnicity,"Black, NH",1
7/29/2023,United States,COVID-19,Sex,Male,1
7/29/2023,United States,COVID-19,Sex,Invalid,0
7/29/2023,United States,COVID-19,Sex,Other,0
7/29/2023,United States,COVID-19,Sex,Female,1.1
7/29/2023,United States,COVID-19,Age Group,18-64 years,0.9
7/29/2023,United States,COVID-19,Age Group,65+ years,1.4
7/29/2023,United States,COVID-19,Age Group,5-17 years,0.6
7/29/2023,United States,COVID-19,Age Group,0-4 years,1.9
7/29/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1.3
7/29/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1
7/29/2023,United States,COVID-19,Race/Ethnicity,"White, NH",0.9
7/29/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.6
7/29/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.9
7/29/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",1.2
7/29/2023,United States,Combined,Sex,Male,1.1
7/29/2023,United States,Combined,Sex,Invalid,0
7/29/2023,United States,Combined,Sex,Other,0
7/29/2023,United States,Combined,Sex,Female,1.3
7/29/2023,United States,Combined,Age Group,18-64 years,1
7/29/2023,United States,Combined,Age Group,65+ years,1.5
7/29/2023,United States,Combined,Age Group,5-17 years,0.9
7/29/2023,United States,Combined,Age Group,0-4 years,2.8
7/29/2023,United States,Combined,Race/Ethnicity,Hispanic,1.5
7/29/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.1
7/29/2023,United States,Combined,Race/Ethnicity,"White, NH",1
7/29/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.8
7/29/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",1
7/29/2023,United States,Combined,Race/Ethnicity,"Black, NH",1.4
7/29/2023,United States,Influenza,Sex,Male,0.2
7/29/2023,United States,Influenza,Sex,Invalid,0
7/29/2023,United States,Influenza,Sex,Other,0
7/29/2023,United States,Influenza,Sex,Female,0.1
7/29/2023,United States,Influenza,Age Group,18-64 years,0.1
7/29/2023,United States,Influenza,Age Group,65+ years,0.1
7/29/2023,United States,Influenza,Age Group,5-17 years,0.3
7/29/2023,United States,Influenza,Age Group,0-4 years,0.5
7/29/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.2
7/29/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.1
7/29/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.1
7/29/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.2
7/29/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.1
7/29/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.2
7/29/2023,United States,RSV,Sex,Male,0
7/29/2023,United States,RSV,Sex,Invalid,0
7/29/2023,United States,RSV,Sex,Other,0
7/29/2023,United States,RSV,Sex,Female,0
7/29/2023,United States,RSV,Age Group,18-64 years,0
7/29/2023,United States,RSV,Age Group,65+ years,0
