"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	Population
	"Alabama"	"01"	"77 years"	"77"	31784
	"Alabama"	"01"	"78 years"	"78"	30468
	"Alabama"	"01"	"79 years"	"79"	29050
	"Alabama"	"01"	"80 years"	"80"	28898
	"Alabama"	"01"	"81 years"	"81"	23930
	"Alabama"	"01"	"82 years"	"82"	20815
	"Alabama"	"01"	"83 years"	"83"	18733
	"Alabama"	"01"	"84 years"	"84"	17089
	"Alabama"	"01"	"85+ years"	"85+"	90419
"Total"	"Alabama"	"01"			5108468
	"Alaska"	"02"	"< 1 year"	"0"	9224
	"Alaska"	"02"	"1 year"	"1"	9163
	"Alaska"	"02"	"2 years"	"2"	9054
	"Alaska"	"02"	"3 years"	"3"	9286
	"Alaska"	"02"	"4 years"	"4"	9130
	"Alaska"	"02"	"5 years"	"5"	9403
	"Alaska"	"02"	"6 years"	"6"	9944
	"Alaska"	"02"	"7 years"	"7"	10065
	"Alaska"	"02"	"8 years"	"8"	10204
	"Alaska"	"02"	"9 years"	"9"	10166
	"Alaska"	"02"	"10 years"	"10"	10220
	"Alaska"	"02"	"11 years"	"11"	10008
	"Alaska"	"02"	"12 years"	"12"	10108
	"Alaska"	"02"	"13 years"	"13"	10025
	"Alaska"	"02"	"14 years"	"14"	10028
	"Alaska"	"02"	"15 years"	"15"	10100
	"Alaska"	"02"	"16 years"	"16"	9822
	"Alaska"	"02"	"17 years"	"17"	9557
	"Alaska"	"02"	"18 years"	"18"	8465
	"Alaska"	"02"	"19 years"	"19"	7930
	"Alaska"	"02"	"20 years"	"20"	9045
	"Alaska"	"02"	"21 years"	"21"	9634
	"Alaska"	"02"	"22 years"	"22"	10302
	"Alaska"	"02"	"23 years"	"23"	10316
	"Alaska"	"02"	"24 years"	"24"	10539
	"Alaska"	"02"	"25 years"	"25"	10478
	"Alaska"	"02"	"26 years"	"26"	10577
	"Alaska"	"02"	"27 years"	"27"	10554
	"Alaska"	"02"	"28 years"	"28"	10692
	"Alaska"	"02"	"29 years"	"29"	10994
	"Alaska"	"02"	"30 years"	"30"	11441
	"Alaska"	"02"	"31 years"	"31"	11942
	"Alaska"	"02"	"32 years"	"32"	12038
	"Alaska"	"02"	"33 years"	"33"	12053
	"Alaska"	"02"	"34 years"	"34"	11588
	"Alaska"	"02"	"35 years"	"35"	11389
	"Alaska"	"02"	"36 years"	"36"	11238
	"Alaska"	"02"	"37 years"	"37"	11418
	"Alaska"	"02"	"38 years"	"38"	11220
	"Alaska"	"02"	"39 years"	"39"	10759
	"Alaska"	"02"	"40 years"	"40"	10830
	"Alaska"	"02"	"41 years"	"41"	10535
	"Alaska"	"02"	"42 years"	"42"	9970
	"Alaska"	"02"	"43 years"	"43"	9586
	"Alaska"	"02"	"44 years"	"44"	9019
	"Alaska"	"02"	"45 years"	"45"	8767
	"Alaska"	"02"	"46 years"	"46"	8445
	"Alaska"	"02"	"47 years"	"47"	8098
	"Alaska"	"02"	"48 years"	"48"	8062
	"Alaska"	"02"	"49 years"	"49"	7775
	"Alaska"	"02"	"50 years"	"50"	7970
	"Alaska"	"02"	"51 years"	"51"	8314
	"Alaska"	"02"	"52 years"	"52"	8697
	"Alaska"	"02"	"53 years"	"53"	8523
	"Alaska"	"02"	"54 years"	"54"	8221
	"Alaska"	"02"	"55 years"	"55"	7911
	"Alaska"	"02"	"56 years"	"56"	7903
	"Alaska"	"02"	"57 years"	"57"	8142
	"Alaska"	"02"	"58 years"	"58"	8459
	"Alaska"	"02"	"59 years"	"59"	8732
	"Alaska"	"02"	"60 years"	"60"	8943
	"Alaska"	"02"	"61 years"	"61"	8901
	"Alaska"	"02"	"62 years"	"62"	8965
	"Alaska"	"02"	"63 years"	"63"	8772
	"Alaska"	"02"	"64 years"	"64"	8436
	"Alaska"	"02"	"65 years"	"65"	8248
	"Alaska"	"02"	"66 years"	"66"	8120
	"Alaska"	"02"	"67 years"	"67"	7687
	"Alaska"	"02"	"68 years"	"68"	7689
	"Alaska"	"02"	"69 years"	"69"	7407
	"Alaska"	"02"	"70 years"	"70"	6937
	"Alaska"	"02"	"71 years"	"71"	6424
	"Alaska"	"02"	"72 years"	"72"	5962
	"Alaska"	"02"	"73 years"	"73"	5600
	"Alaska"	"02"	"74 years"	"74"	5220
	"Alaska"	"02"	"75 years"	"75"	4754
	"Alaska"	"02"	"76 years"	"76"	4769
	"Alaska"	"02"	"77 years"	"77"	3313
	"Alaska"	"02"	"78 years"	"78"	3168
	"Alaska"	"02"	"79 years"	"79"	2931
	"Alaska"	"02"	"80 years"	"80"	2682
	"Alaska"	"02"	"81 years"	"81"	2229
	"Alaska"	"02"	"82 years"	"82"	2018
	"Alaska"	"02"	"83 years"	"83"	1713
	"Alaska"	"02"	"84 years"	"84"	1401
	"Alaska"	"02"	"85+ years"	"85+"	7039
"Total"	"Alaska"	"02"			733406
	"Arizona"	"04"	"< 1 year"	"0"	78075
	"Arizona"	"04"	"1 year"	"1"	79101
	"Arizona"	"04"	"2 years"	"2"	76514
	"Arizona"	"04"	"3 years"	"3"	78959
	"Arizona"	"04"	"4 years"	"4"	80882
	"Arizona"	"04"	"5 years"	"5"	82808
	"Arizona"	"04"	"6 years"	"6"	85303
	"Arizona"	"04"	"7 years"	"7"	87984
	"Arizona"	"04"	"8 years"	"8"	90021
	"Arizona"	"04"	"9 years"	"9"	89883
	"Arizona"	"04"	"10 years"	"10"	89255
	"Arizona"	"04"	"11 years"	"11"	89138
	"Arizona"	"04"	"12 years"	"12"	90107
	"Arizona"	"04"	"13 years"	"13"	92332
	"Arizona"	"04"	"14 years"	"14"	95257
	"Arizona"	"04"	"15 years"	"15"	99276
	"Arizona"	"04"	"16 years"	"16"	99877
	"Arizona"	"04"	"17 years"	"17"	98262
	"Arizona"	"04"	"18 years"	"18"	99195
	"Arizona"	"04"	"19 years"	"19"	100076
	"Arizona"	"04"	"20 years"	"20"	97371
	"Arizona"	"04"	"21 years"	"21"	98911
	"Arizona"	"04"	"22 years"	"22"	102338
	"Arizona"	"04"	"23 years"	"23"	104464
	"Arizona"	"04"	"24 years"	"24"	102044
	"Arizona"	"04"	"25 years"	"25"	101901
	"Arizona"	"04"	"26 years"	"26"	101313
	"Arizona"	"04"	"27 years"	"27"	101026
	"Arizona"	"04"	"28 years"	"28"	101123
	"Arizona"	"04"	"29 years"	"29"	102747
	"Arizona"	"04"	"30 years"	"30"	103283
	"Arizona"	"04"	"31 years"	"31"	104643
	"Arizona"	"04"	"32 years"	"32"	105725
	"Arizona"	"04"	"33 years"	"33"	104796
	"Arizona"	"04"	"34 years"	"34"	100472
	"Arizona"	"04"	"35 years"	"35"	98134
	"Arizona"	"04"	"36 years"	"36"	95847
	"Arizona"	"04"	"37 years"	"37"	96201
	"Arizona"	"04"	"38 years"	"38"	95801
	"Arizona"	"04"	"39 years"	"39"	92962
	"Arizona"	"04"	"40 years"	"40"	94692
	"Arizona"	"04"	"41 years"	"41"	94720
	"Arizona"	"04"	"42 years"	"42"	93973
	"Arizona"	"04"	"43 years"	"43"	93177
	"Arizona"	"04"	"44 years"	"44"	88370
	"Arizona"	"04"	"45 years"	"45"	86163
	"Arizona"	"04"	"46 years"	"46"	85774
	"Arizona"	"04"	"47 years"	"47"	83190
	"Arizona"	"04"	"48 years"	"48"	84535
	"Arizona"	"04"	"49 years"	"49"	83055
	"Arizona"	"04"	"50 years"	"50"	82928
	"Arizona"	"04"	"51 years"	"51"	86081
	"Arizona"	"04"	"52 years"	"52"	91434
	"Arizona"	"04"	"53 years"	"53"	89527
	"Arizona"	"04"	"54 years"	"54"	86221
	"Arizona"	"04"	"55 years"	"55"	83454
	"Arizona"	"04"	"56 years"	"56"	82971
	"Arizona"	"04"	"57 years"	"57"	83840
	"Arizona"	"04"	"58 years"	"58"	87202
	"Arizona"	"04"	"59 years"	"59"	89312
	"Arizona"	"04"	"60 years"	"60"	90149
	"Arizona"	"04"	"61 years"	"61"	91370
	"Arizona"	"04"	"62 years"	"62"	91536
	"Arizona"	"04"	"63 years"	"63"	90566
	"Arizona"	"04"	"64 years"	"64"	89178
	"Arizona"	"04"	"65 years"	"65"	89458
	"Arizona"	"04"	"66 years"	"66"	88789
	"Arizona"	"04"	"67 years"	"67"	85641
	"Arizona"	"04"	"68 years"	"68"	83960
	"Arizona"	"04"	"69 years"	"69"	82025
	"Arizona"	"04"	"70 years"	"70"	79785
	"Arizona"	"04"	"71 years"	"71"	77280
	"Arizona"	"04"	"72 years"	"72"	74638
	"Arizona"	"04"	"73 years"	"73"	72318
	"Arizona"	"04"	"74 years"	"74"	71042
	"Arizona"	"04"	"75 years"	"75"	70550
	"Arizona"	"04"	"76 years"	"76"	74998
	"Arizona"	"04"	"77 years"	"77"	52659
	"Arizona"	"04"	"78 years"	"78"	50022
	"Arizona"	"04"	"79 years"	"79"	48473
	"Arizona"	"04"	"80 years"	"80"	48548
	"Arizona"	"04"	"81 years"	"81"	40290
	"Arizona"	"04"	"82 years"	"82"	35389
	"Arizona"	"04"	"83 years"	"83"	31297
	"Arizona"	"04"	"84 years"	"84"	28232
	"Arizona"	"04"	"85+ years"	"85+"	149125
"Total"	"Arizona"	"04"			7431344
	"Arkansas"	"05"	"< 1 year"	"0"	35297
	"Arkansas"	"05"	"1 year"	"1"	36502
	"Arkansas"	"05"	"2 years"	"2"	35449
	"Arkansas"	"05"	"3 years"	"3"	36407
	"Arkansas"	"05"	"4 years"	"4"	37179
	"Arkansas"	"05"	"5 years"	"5"	38183
	"Arkansas"	"05"	"6 years"	"6"	38729
	"Arkansas"	"05"	"7 years"	"7"	39684
	"Arkansas"	"05"	"8 years"	"8"	39754
	"Arkansas"	"05"	"9 years"	"9"	39392
	"Arkansas"	"05"	"10 years"	"10"	38995
	"Arkansas"	"05"	"11 years"	"11"	39229
	"Arkansas"	"05"	"12 years"	"12"	39607
	"Arkansas"	"05"	"13 years"	"13"	40428
	"Arkansas"	"05"	"14 years"	"14"	41524
	"Arkansas"	"05"	"15 years"	"15"	43418
	"Arkansas"	"05"	"16 years"	"16"	43387
	"Arkansas"	"05"	"17 years"	"17"	42444
	"Arkansas"	"05"	"18 years"	"18"	40197
	"Arkansas"	"05"	"19 years"	"19"	40212
	"Arkansas"	"05"	"20 years"	"20"	41254
	"Arkansas"	"05"	"21 years"	"21"	40853
	"Arkansas"	"05"	"22 years"	"22"	41672
	"Arkansas"	"05"	"23 years"	"23"	40989
	"Arkansas"	"05"	"24 years"	"24"	40294
	"Arkansas"	"05"	"25 years"	"25"	39681
	"Arkansas"	"05"	"26 years"	"26"	39106
	"Arkansas"	"05"	"27 years"	"27"	38650
	"Arkansas"	"05"	"28 years"	"28"	38874
	"Arkansas"	"05"	"29 years"	"29"	39083
	"Arkansas"	"05"	"30 years"	"30"	39877
	"Arkansas"	"05"	"31 years"	"31"	40995
	"Arkansas"	"05"	"32 years"	"32"	42032
	"Arkansas"	"05"	"33 years"	"33"	41804
	"Arkansas"	"05"	"34 years"	"34"	40264
	"Arkansas"	"05"	"35 years"	"35"	39062
	"Arkansas"	"05"	"36 years"	"36"	38550
	"Arkansas"	"05"	"37 years"	"37"	38495
	"Arkansas"	"05"	"38 years"	"38"	38730
	"Arkansas"	"05"	"39 years"	"39"	38595
	"Arkansas"	"05"	"40 years"	"40"	38953
	"Arkansas"	"05"	"41 years"	"41"	39350
	"Arkansas"	"05"	"42 years"	"42"	39128
	"Arkansas"	"05"	"43 years"	"43"	39239
	"Arkansas"	"05"	"44 years"	"44"	37464
	"Arkansas"	"05"	"45 years"	"45"	36578
	"Arkansas"	"05"	"46 years"	"46"	36273
	"Arkansas"	"05"	"47 years"	"47"	34852
	"Arkansas"	"05"	"48 years"	"48"	35479
	"Arkansas"	"05"	"49 years"	"49"	34830
	"Arkansas"	"05"	"50 years"	"50"	34974
	"Arkansas"	"05"	"51 years"	"51"	36765
	"Arkansas"	"05"	"52 years"	"52"	38654
	"Arkansas"	"05"	"53 years"	"53"	37774
	"Arkansas"	"05"	"54 years"	"54"	35657
	"Arkansas"	"05"	"55 years"	"55"	34691
	"Arkansas"	"05"	"56 years"	"56"	35268
	"Arkansas"	"05"	"57 years"	"57"	35456
	"Arkansas"	"05"	"58 years"	"58"	37757
	"Arkansas"	"05"	"59 years"	"59"	39092
	"Arkansas"	"05"	"60 years"	"60"	39321
	"Arkansas"	"05"	"61 years"	"61"	39306
	"Arkansas"	"05"	"62 years"	"62"	38993
	"Arkansas"	"05"	"63 years"	"63"	38153
	"Arkansas"	"05"	"64 years"	"64"	37554
	"Arkansas"	"05"	"65 years"	"65"	37036
	"Arkansas"	"05"	"66 years"	"66"	36633
	"Arkansas"	"05"	"67 years"	"67"	34856
	"Arkansas"	"05"	"68 years"	"68"	34086
	"Arkansas"	"05"	"69 years"	"69"	33073
	"Arkansas"	"05"	"70 years"	"70"	31648
	"Arkansas"	"05"	"71 years"	"71"	30276
	"Arkansas"	"05"	"72 years"	"72"	28622
	"Arkansas"	"05"	"73 years"	"73"	27183
	"Arkansas"	"05"	"74 years"	"74"	26726
	"Arkansas"	"05"	"75 years"	"75"	25853
	"Arkansas"	"05"	"76 years"	"76"	27413
	"Arkansas"	"05"	"77 years"	"77"	18912
	"Arkansas"	"05"	"78 years"	"78"	18318
	"Arkansas"	"05"	"79 years"	"79"	17494
	"Arkansas"	"05"	"80 years"	"80"	17369
	"Arkansas"	"05"	"81 years"	"81"	14493
	"Arkansas"	"05"	"82 years"	"82"	13003
	"Arkansas"	"05"	"83 years"	"83"	11670
	"Arkansas"	"05"	"84 years"	"84"	10350
	"Arkansas"	"05"	"85+ years"	"85+"	56280
"Total"	"Arkansas"	"05"			3067732
	"California"	"06"	"< 1 year"	"0"	415125
	"California"	"06"	"1 year"	"1"	421432
	"California"	"06"	"2 years"	"2"	404928
	"California"	"06"	"3 years"	"3"	423738
	"California"	"06"	"4 years"	"4"	432567
	"California"	"06"	"5 years"	"5"	443800
	"California"	"06"	"6 years"	"6"	459958
	"California"	"06"	"7 years"	"7"	471694
	"California"	"06"	"8 years"	"8"	479383
	"California"	"06"	"9 years"	"9"	479294
	"California"	"06"	"10 years"	"10"	479946
	"California"	"06"	"11 years"	"11"	480598
	"California"	"06"	"12 years"	"12"	488148
	"California"	"06"	"13 years"	"13"	493791
	"California"	"06"	"14 years"	"14"	502328
	"California"	"06"	"15 years"	"15"	525616
	"California"	"06"	"16 years"	"16"	525439
	"California"	"06"	"17 years"	"17"	517884
	"California"	"06"	"18 years"	"18"	527397
	"California"	"06"	"19 years"	"19"	512103
	"California"	"06"	"20 years"	"20"	504094
	"California"	"06"	"21 years"	"21"	496946
	"California"	"06"	"22 years"	"22"	506368
	"California"	"06"	"23 years"	"23"	509583
	"California"	"06"	"24 years"	"24"	505907
	"California"	"06"	"25 years"	"25"	513813
	"California"	"06"	"26 years"	"26"	524910
	"California"	"06"	"27 years"	"27"	537024
	"California"	"06"	"28 years"	"28"	551580
	"California"	"06"	"29 years"	"29"	565913
	"California"	"06"	"30 years"	"30"	575357
	"California"	"06"	"31 years"	"31"	592888
	"California"	"06"	"32 years"	"32"	609020
	"California"	"06"	"33 years"	"33"	611332
	"California"	"06"	"34 years"	"34"	589920
	"California"	"06"	"35 years"	"35"	577242
	"California"	"06"	"36 years"	"36"	563827
	"California"	"06"	"37 years"	"37"	559517
	"California"	"06"	"38 years"	"38"	556237
	"California"	"06"	"39 years"	"39"	544116
	"California"	"06"	"40 years"	"40"	548995
	"California"	"06"	"41 years"	"41"	544277
	"California"	"06"	"42 years"	"42"	530720
	"California"	"06"	"43 years"	"43"	525497
	"California"	"06"	"44 years"	"44"	499332
	"California"	"06"	"45 years"	"45"	489925
	"California"	"06"	"46 years"	"46"	485617
	"California"	"06"	"47 years"	"47"	475431
	"California"	"06"	"48 years"	"48"	479351
	"California"	"06"	"49 years"	"49"	469511
	"California"	"06"	"50 years"	"50"	470485
	"California"	"06"	"51 years"	"51"	481760
	"California"	"06"	"52 years"	"52"	504761
	"California"	"06"	"53 years"	"53"	504538
	"California"	"06"	"54 years"	"54"	485969
	"California"	"06"	"55 years"	"55"	472788
	"California"	"06"	"56 years"	"56"	463330
	"California"	"06"	"57 years"	"57"	464162
	"California"	"06"	"58 years"	"58"	476301
	"California"	"06"	"59 years"	"59"	481619
	"California"	"06"	"60 years"	"60"	477458
	"California"	"06"	"61 years"	"61"	472327
	"California"	"06"	"62 years"	"62"	466308
	"California"	"06"	"63 years"	"63"	460125
	"California"	"06"	"64 years"	"64"	441910
	"California"	"06"	"65 years"	"65"	433425
	"California"	"06"	"66 years"	"66"	422493
	"California"	"06"	"67 years"	"67"	403399
	"California"	"06"	"68 years"	"68"	393936
	"California"	"06"	"69 years"	"69"	375822
	"California"	"06"	"70 years"	"70"	357514
	"California"	"06"	"71 years"	"71"	340394
	"California"	"06"	"72 years"	"72"	323527
	"California"	"06"	"73 years"	"73"	312660
	"California"	"06"	"74 years"	"74"	297805
	"California"	"06"	"75 years"	"75"	287023
	"California"	"06"	"76 years"	"76"	294637
	"California"	"06"	"77 years"	"77"	218368
	"California"	"06"	"78 years"	"78"	207538
	"California"	"06"	"79 years"	"79"	195120
	"California"	"06"	"80 years"	"80"	188201
	"California"	"06"	"81 years"	"81"	161458
	"California"	"06"	"82 years"	"82"	143889
	"California"	"06"	"83 years"	"83"	131522
	"California"	"06"	"84 years"	"84"	118967
	"California"	"06"	"85+ years"	"85+"	704235
"Total"	"California"	"06"			38965193
	"Colorado"	"08"	"< 1 year"	"0"	62168
	"Colorado"	"08"	"1 year"	"1"	61980
	"Colorado"	"08"	"2 years"	"2"	61343
	"Colorado"	"08"	"3 years"	"3"	61780
	"Colorado"	"08"	"4 years"	"4"	61688
	"Colorado"	"08"	"5 years"	"5"	63586
	"Colorado"	"08"	"6 years"	"6"	65256
	"Colorado"	"08"	"7 years"	"7"	67443
	"Colorado"	"08"	"8 years"	"8"	68138
	"Colorado"	"08"	"9 years"	"9"	67989
	"Colorado"	"08"	"10 years"	"10"	67505
	"Colorado"	"08"	"11 years"	"11"	67900
	"Colorado"	"08"	"12 years"	"12"	69490
	"Colorado"	"08"	"13 years"	"13"	71325
	"Colorado"	"08"	"14 years"	"14"	72367
	"Colorado"	"08"	"15 years"	"15"	75316
	"Colorado"	"08"	"16 years"	"16"	75217
	"Colorado"	"08"	"17 years"	"17"	74193
	"Colorado"	"08"	"18 years"	"18"	75957
	"Colorado"	"08"	"19 years"	"19"	77968
	"Colorado"	"08"	"20 years"	"20"	74487
	"Colorado"	"08"	"21 years"	"21"	74118
	"Colorado"	"08"	"22 years"	"22"	77411
	"Colorado"	"08"	"23 years"	"23"	79353
	"Colorado"	"08"	"24 years"	"24"	81236
	"Colorado"	"08"	"25 years"	"25"	84339
	"Colorado"	"08"	"26 years"	"26"	86943
	"Colorado"	"08"	"27 years"	"27"	89402
	"Colorado"	"08"	"28 years"	"28"	91224
	"Colorado"	"08"	"29 years"	"29"	93367
	"Colorado"	"08"	"30 years"	"30"	95387
	"Colorado"	"08"	"31 years"	"31"	97194
	"Colorado"	"08"	"32 years"	"32"	97224
	"Colorado"	"08"	"33 years"	"33"	96645
	"Colorado"	"08"	"34 years"	"34"	92378
	"Colorado"	"08"	"35 years"	"35"	91610
	"Colorado"	"08"	"36 years"	"36"	90330
	"Colorado"	"08"	"37 years"	"37"	90698
	"Colorado"	"08"	"38 years"	"38"	89270
	"Colorado"	"08"	"39 years"	"39"	86724
	"Colorado"	"08"	"40 years"	"40"	87001
	"Colorado"	"08"	"41 years"	"41"	85564
	"Colorado"	"08"	"42 years"	"42"	83673
	"Colorado"	"08"	"43 years"	"43"	81939
	"Colorado"	"08"	"44 years"	"44"	77577
	"Colorado"	"08"	"45 years"	"45"	75324
	"Colorado"	"08"	"46 years"	"46"	73461
	"Colorado"	"08"	"47 years"	"47"	70372
	"Colorado"	"08"	"48 years"	"48"	70628
	"Colorado"	"08"	"49 years"	"49"	68602
	"Colorado"	"08"	"50 years"	"50"	68168
	"Colorado"	"08"	"51 years"	"51"	70898
	"Colorado"	"08"	"52 years"	"52"	74587
	"Colorado"	"08"	"53 years"	"53"	72933
	"Colorado"	"08"	"54 years"	"54"	69294
	"Colorado"	"08"	"55 years"	"55"	65794
	"Colorado"	"08"	"56 years"	"56"	64005
	"Colorado"	"08"	"57 years"	"57"	64100
	"Colorado"	"08"	"58 years"	"58"	66702
	"Colorado"	"08"	"59 years"	"59"	68627
	"Colorado"	"08"	"60 years"	"60"	69263
	"Colorado"	"08"	"61 years"	"61"	70352
	"Colorado"	"08"	"62 years"	"62"	70627
	"Colorado"	"08"	"63 years"	"63"	69277
	"Colorado"	"08"	"64 years"	"64"	67878
	"Colorado"	"08"	"65 years"	"65"	67262
	"Colorado"	"08"	"66 years"	"66"	65799
	"Colorado"	"08"	"67 years"	"67"	62913
	"Colorado"	"08"	"68 years"	"68"	61490
	"Colorado"	"08"	"69 years"	"69"	59298
	"Colorado"	"08"	"70 years"	"70"	57328
	"Colorado"	"08"	"71 years"	"71"	54765
	"Colorado"	"08"	"72 years"	"72"	51625
	"Colorado"	"08"	"73 years"	"73"	48330
	"Colorado"	"08"	"74 years"	"74"	46234
	"Colorado"	"08"	"75 years"	"75"	44575
	"Colorado"	"08"	"76 years"	"76"	46324
	"Colorado"	"08"	"77 years"	"77"	31649
	"Colorado"	"08"	"78 years"	"78"	29477
	"Colorado"	"08"	"79 years"	"79"	27864
	"Colorado"	"08"	"80 years"	"80"	27043
	"Colorado"	"08"	"81 years"	"81"	22400
	"Colorado"	"08"	"82 years"	"82"	19406
	"Colorado"	"08"	"83 years"	"83"	17296
	"Colorado"	"08"	"84 years"	"84"	15654
	"Colorado"	"08"	"85+ years"	"85+"	86283
"Total"	"Colorado"	"08"			5877610
	"Connecticut"	"09"	"< 1 year"	"0"	34935
	"Connecticut"	"09"	"1 year"	"1"	36422
	"Connecticut"	"09"	"2 years"	"2"	35490
	"Connecticut"	"09"	"3 years"	"3"	36634
	"Connecticut"	"09"	"4 years"	"4"	37192
	"Connecticut"	"09"	"5 years"	"5"	38103
	"Connecticut"	"09"	"6 years"	"6"	38459
	"Connecticut"	"09"	"7 years"	"7"	39348
	"Connecticut"	"09"	"8 years"	"8"	39860
	"Connecticut"	"09"	"9 years"	"9"	39785
	"Connecticut"	"09"	"10 years"	"10"	40014
	"Connecticut"	"09"	"11 years"	"11"	40421
	"Connecticut"	"09"	"12 years"	"12"	41360
	"Connecticut"	"09"	"13 years"	"13"	42312
	"Connecticut"	"09"	"14 years"	"14"	43763
	"Connecticut"	"09"	"15 years"	"15"	45949
	"Connecticut"	"09"	"16 years"	"16"	46502
	"Connecticut"	"09"	"17 years"	"17"	46437
	"Connecticut"	"09"	"18 years"	"18"	49584
	"Connecticut"	"09"	"19 years"	"19"	50221
	"Connecticut"	"09"	"20 years"	"20"	50756
	"Connecticut"	"09"	"21 years"	"21"	49084
	"Connecticut"	"09"	"22 years"	"22"	47176
	"Connecticut"	"09"	"23 years"	"23"	44680
	"Connecticut"	"09"	"24 years"	"24"	43824
	"Connecticut"	"09"	"25 years"	"25"	43469
	"Connecticut"	"09"	"26 years"	"26"	43592
	"Connecticut"	"09"	"27 years"	"27"	43670
	"Connecticut"	"09"	"28 years"	"28"	44507
	"Connecticut"	"09"	"29 years"	"29"	45605
	"Connecticut"	"09"	"30 years"	"30"	46112
	"Connecticut"	"09"	"31 years"	"31"	46358
	"Connecticut"	"09"	"32 years"	"32"	46084
	"Connecticut"	"09"	"33 years"	"33"	46723
	"Connecticut"	"09"	"34 years"	"34"	46452
	"Connecticut"	"09"	"35 years"	"35"	46860
	"Connecticut"	"09"	"36 years"	"36"	47132
	"Connecticut"	"09"	"37 years"	"37"	47748
	"Connecticut"	"09"	"38 years"	"38"	47458
	"Connecticut"	"09"	"39 years"	"39"	46497
