,"STEARNS, MN",18922,0.085%,0.655%
,"GENESEE, MI",21997,0.218%,1.1%
,"HUDSON, NJ",11422,0.14%,1.2%
,"ONEIDA, NY",11356,-,1.8%
,"YORK, ME",13206,0.204%,1%
,"ORANGE, NY",10829,-,0.674%
,"BERRIEN, MI",13976,0.143%,1.5%
,"WASHINGTON, MD",13832,-,2.1%
,"ALAMANCE, NC",13070,-,1%
,"JACKSON, MI",14347,0.112%,1.9%
,"LIVINGSTON, MI",11210,0.134%,0.642%
,"RICHMOND, NY",4302,-,0.651%
,"MONROE, MI",11962,0.142%,1.2%
,"BERGEN, NJ",4166,-,1.2%
,"ONONDAGA, NY",8944,-,1.9%
,"SOMERSET, NJ",7108,-,1.3%
,"PITT, NC",15174,0.086%,0.916%
,"BRONX, NY",7235,-,0.857%
,"LIVINGSTON, LA",16518,0.103%,2%
,"BRUNSWICK, NC",6592,-,1.2%
,"JACKSON, MS",13065,-,1.4%
,"HARRISON, MS",15108,-,1.2%
,"SARATOGA, NY",5686,0.739%,1.6%
,"HARDIN, KY",13509,-,1.6%
,"ASCENSION, LA",15288,0.092%,1.7%
,"HAMPDEN, MA",10160,-,1.2%
,"GALLATIN, MT",10459,0.134%,0.277%
,"UNION, NJ",11530,0.113%,1.6%
,"WASHINGTON, MN",11259,0.098%,0.48%
,"TANGIPAHOA, LA",12346,-,2.4%
,"DAVIDSON, NC",8761,-,1.2%
,"CALHOUN, MI",10442,0.144%,2%
,"DURHAM, NC",9530,-,0.776%
,"RENSSELAER, NY",6929,0.996%,2.5%
,"ORANGE, NC",8568,0.128%,0.864%
,"WESTCHESTER, NY",8807,-,0.522%
,"ATLANTIC, NJ",8803,0.17%,1.7%
,"RANKIN, MS",10833,0.185%,1.3%
,"ONTARIO, NY",9129,-,0.876%
,"HOWARD, MD",4830,-,1.2%
,"NEW HANOVER, NC",3923,0.331%,0.994%
,"WAYNE, NC",9499,0.137%,2.2%
,"HENDERSON, NC",5162,-,1.6%
,"OUACHITA, LA",10231,-,2%
,"FORREST, MS",12033,-,1.9%
,"ROWAN, NC",6910,-,1.5%
,"CLAY, MO",4156,-,0.481%
,"NIAGARA, NY",3158,-,2.8%
,"WAYNE, NY",8524,0.129%,1.5%
,"LENAWEE, MI",8030,-,1.9%
,"ROBESON, NC",8430,-,1.7%
,"BARNSTABLE, MA",3210,0.374%,1.1%
,"BUNCOMBE, NC",3448,-,1.3%
,"ROCKINGHAM, NC",7343,-,1.7%
,"ALLEGAN, MI",9173,0.24%,1%
,"STEUBEN, NY",8475,0.189%,1.2%
,"DESOTO, MS",4138,-,1.5%
,"CABARRUS, NC",9120,-,0.8%
,"BULLITT, KY",10661,0.206%,1.3%
,"NASH, NC",7768,-,2.3%
,"SARPY, NE",4422,-,0.905%
,"ANDROSCOGGIN, ME",7592,0.237%,1.6%
,"SHERBURNE, MN",10208,-,0.49%
,"MADISON, MS",7793,0.167%,1.5%
,"IREDELL, NC",8682,-,0.68%
,"LEE, MS",9206,0.119%,2%
,"VAN BUREN, MI",8266,0.145%,1.4%
,"GASTON, NC",8669,-,1.1%
,"HARNETT, NC",9136,0.197%,1.7%
,"WICOMICO, MD",7322,0.164%,2.7%
,"SAINT LAWRENCE, NY",6989,-,1.7%
,"WRIGHT, MN",7961,-,0.515%
,"MADISON, KY",6408,0.218%,2%
,"CALDWELL, NC",6673,-,1.8%
,"CHARLES, MD",4874,-,2.7%
,"MCCRACKEN, KY",7350,-,2.2%
,"KENTON, KY",10592,0.217%,0.434%
,"ROCKLAND, NY",1495,-,0.803%
,"RANDOLPH, NC",4365,-,0.893%
,"PENOBSCOT, ME",2059,-,1.8%
,"CLAY, MN",8662,0.139%,0.704%
,"ROCKINGHAM, NH",5157,0.388%,0.524%
,"CHEMUNG, NY",6663,0.225%,1.3%
,"CROW WING, MN",5521,-,0.543%
,"MERRIMACK, NH",6532,0.168%,0.827%
,"CLINTON, NY",3742,-,1.4%
,"BUCHANAN, MO",4939,-,3%
,"CHESHIRE, NH",4742,-,0.675%
,"PEARL RIVER, MS",6008,-,3.8%
,"PLATTE, MO",2886,-,0.728%
,"WARREN, NJ",4434,-,1.2%
,"SULLIVAN, NY",5259,-,0.894%
,"MONTCALM, MI",5970,0.251%,2%
,"BURKE, NC",3914,-,0.792%
,"OLDHAM, KY",5186,-,1.1%
,"LIVINGSTON, NY",4699,-,1%
,"CHATHAM, NC",4601,-,0.869%
,"OTTER TAIL, MN",5584,-,1.2%
,"CAPE GIRARDEAU, MO",5555,-,1.6%
,"OTSEGO, NY",4663,-,1.1%
,"GRAFTON, NH",3646,-,0.576%
,"GENESEE, NY",4588,-,2.1%
,"HERKIMER, NY",4633,-,1.7%
,"BARRY, MI",5149,-,1.2%
,"CALCASIEU, LA",2454,0.815%,1.9%
,"LENOIR, NC",4918,-,2.7%
,"LAUDERDALE, MS",6571,-,1.8%
,"BOONE, KY",9556,0.209%,0.44%
,"WILSON, NC",3724,0.376%,1.5%
,"FREDERICK, MD",2682,-,1.3%
,"EDGECOMBE, NC",5059,-,2.7%
,"PIKE, KY",4539,0.242%,3%
,"ULSTER, NY",3196,-,1.4%
,"LOWNDES, MS",6010,-,2%
,"CHENANGO, NY",4547,-,1.5%
,"BELTRAMI, MN",5416,-,0.942%
,"NEWAYGO, MI",4667,-,1.6%
,"LAMAR, MS",5501,-,1.5%
,"KANDIYOHI, MN",5519,-,1.1%
,"OXFORD, ME",3764,-,1.2%
,"CARROLL, MD",2226,-,0.988%
,"ITASCA, MN",4387,-,1.2%
,"HALIFAX, NC",3783,-,2.1%
,"BEAUFORT, NC",3427,-,1.2%
,"CUMBERLAND, NJ",3636,0.413%,1.3%
,"HENDERSON, KY",4751,-,1.6%
,"JESSAMINE, KY",5464,0.22%,1.4%
,"FRANKLIN, NC",4282,-,2%
,"SHELBY, KY",5236,-,1.4%
,"CASCADE, MT",3973,-,0.856%
,"KNOX, ME",3144,-,1.4%
,"CHISAGO, MN",4777,-,0.565%
,"IONIA, MI",4668,-,1.2%
,"TIOGA, NY",3860,-,1.6%
,"CAMPBELL, KY",6485,-,0.509%
,"MORRIS, NJ",1354,-,0.812%
,"PASSAIC, NJ",1705,-,0.88%
,"SCOTT, MN",3524,-,-
,"SCHENECTADY, NY",2358,0.594%,1.7%
,"LEWIS AND CLARK, MT",2849,-,0.913%
,"HOPKINS, KY",4288,-,1.2%
,"PHELPS, MO",3865,-,1.1%
,"FRANKLIN, KY",4840,-,1.3%
,"CASS, MO",1533,-,-
,"DELAWARE, NY",3332,-,1.4%
,"BRANCH, MI",3675,-,2.6%
,"DARE, NC",2095,-,1.1%
,"LAFOURCHE, LA",3739,-,2.7%
,"WHITLEY, KY",4043,-,3%
,"JONES, MS",3502,-,1.6%
,"SURRY, NC",3267,-,0.857%
,"BENTON, MN",4344,-,0.783%
,"STOKES, NC",3356,-,1.2%
,"CAPE MAY, NJ",1097,-,2.4%
,"CATAWBA, NC",3015,-,0.464%
,"YELLOWSTONE, MT",6037,-,1.2%
,"SAINT CHARLES, LA",3639,-,2.9%
,"MECOSTA, MI",3635,-,2%
,"KENNEBEC, ME",2967,-,1.5%
,"ONSLOW, NC",3681,0.598%,1.1%
,"BUTLER, MO",4642,-,1.6%
,"PASQUOTANK, NC",3532,-,1.9%
,"NELSON, KY",2613,-,1%
,"DUPLIN, NC",4420,-,1.4%
,"BECKER, MN",3684,-,0.977%
,"WORCESTER, MD",1635,-,2.1%
,"SULLIVAN, NH",2721,-,1.2%
,"CARROLL, NH",1783,-,1.2%
,"LINCOLN, ME",2345,-,1.9%
,"SANDOVAL, NM",1416,-,0.918%
,"LYON, NV",3546,0.508%,1.2%
,"QUEEN ANNES, MD",1800,-,1.4%
,"LINCOLN, NE",3741,-,0.989%
,"INGHAM, MI",3028,-,1.3%
,"DELTA, MI",2874,-,0.974%
,"TALBOT, MD",2486,-,1.2%
,"SALEM, NJ",3940,-,1.1%
,"FRANKLIN, NY",2716,-,1.8%
,"TERREBONNE, LA",4090,-,3.6%
,"TOMPKINS, NY",1197,-,-
,"LINCOLN, NC",3164,-,0.442%
,"WALDO, ME",2196,-,2.4%
,"ST JOHN THE BAPTIST, LA",3007,-,2.4%
,"CECIL, MD",4947,0.384%,1%
,"WASHINGTON, LA",3372,-,2.1%
,"BOURBON, KY",4770,-,1.3%
,"POLK, MN",3817,-,1.3%
,"CORTLAND, NY",2381,-,1.1%
,"DAVIE, NC",2207,-,0.816%
,"ORLEANS, NY",2656,-,1.3%
,"HUNTERDON, NJ",1365,-,-
,"CHAVES, NM",3138,-,2.6%
,"ACADIA, LA",4050,-,1.5%
,"CASS, MI",3077,-,1.4%
,"LAFAYETTE, MS",2531,-,1.7%
,"LAUREL, KY",2275,-,2.6%
,"SAMPSON, NC",2636,-,1.9%
,"MADISON, NE",3243,-,0.894%
,"SAINT MARTIN, LA",3845,-,1.6%
,"COLUMBIA, NY",1820,0.604%,1.8%
,"CLARK, KY",4244,0.33%,1.5%
,"HANCOCK, MS",3011,-,3.2%
,"DORCHESTER, MD",3120,-,1.2%
,"SAGADAHOC, ME",2279,-,1.3%
,"MASON, MI",2446,-,1.2%
,"VERMILION, LA",4227,-,1.7%
,"SAINT LANDRY, LA",3839,-,1.6%
,"BLADEN, NC",3034,-,2.3%
,"CAROLINE, MD",2715,-,1.5%
,"ALLEGANY, NY",2716,-,0.7%
,"SCOTT, MO",3830,-,2%
,"OCEANA, MI",2887,-,1.7%
,"SAINT LOUIS, MO",2001,-,-
,"SCOTT, KY",1726,-,0.869%
,"MONROE, MS",2474,-,2.7%
,"HILLSDALE, MI",2455,-,1.7%
,"CASS, MN",2698,-,1.1%
,"MARSHALL, KY",2539,-,1.4%
,"PULASKI, KY",1325,-,1.4%
,"PULASKI, MO",4066,-,0.91%
,"PENDER, NC",1696,-,1.1%
,"CHAUTAUQUA, NY",1067,-,2.2%
,"IBERVILLE, LA",2977,-,2.4%
,"LEE, NC",3472,-,1.2%
,"CLEVELAND, NC",1908,-,0.839%
,"YADKIN, NC",2230,-,1%
,"DAVIESS, KY",3251,-,0.831%
,"SAINT MARY, LA",2717,-,0.994%
,"FRANKLIN, ME",1954,-,1.2%
,"CARLTON, MN",2827,-,0.672%
,"SCHOHARIE, NY",1947,-,1.6%
,"AROOSTOOK, ME",1844,-,1.1%
,"SAINT CLAIR, MI",1310,-,1.5%
,"WATAUGA, NC",866,-,-
,"IBERIA, LA",3332,-,1.4%
,"DOUGLAS, MN",1932,-,0.673%
,"MCDOWELL, NC",1499,-,2.7%
,"ADAMS, NE",2514,-,2.7%
,"HALL, NE",1451,-,1.6%
,"GREENE, MO",4116,-,1.2%
,"MORRISON, MN",2607,-,0.844%
,"GREENE, NY",1471,-,1.8%
,"SAINT BERNARD, LA",2099,-,1.2%
,"CURRITUCK, NC",1595,-,0.752%
,"MARION, MS",2449,-,2.4%
,"WEST BATON ROUGE, LA",3225,-,2%
,"ESSEX, NY",1469,-,1.5%
,"UNION, MS",2540,-,1.5%
,"GRAVES, KY",2901,-,1.2%
,"MADISON, NY",1258,-,1.3%
,"TRANSYLVANIA, NC",860,-,1.5%
,"HOKE, NC",3470,-,1.2%
,"PONTOTOC, MS",2611,-,2.1%
,"WINONA, MN",2130,-,-
,"SILVER BOW, MT",2100,-,0.762%
,"MILLE LACS, MN",2455,-,-
,"WYOMING, NY",1751,-,0.914%
,"COLUMBUS, NC",1556,-,2.2%
,"KNOX, KY",2122,-,2.8%
,"GARRETT, MD",1741,-,1.6%
,"LAPEER, MI",2277,0.527%,1.3%
,"CARSON CITY, NV",1377,-,1.2%
,"GAGE, NE",2197,-,0.819%
,"FLOYD, KY",2051,-,2.9%
,"HUBBARD, MN",1954,-,1%
,"DUTCHESS, NY",1027,-,1.3%
,"ALLEGANY, MD",1832,-,1.3%
,"PIKE, MS",1777,-,2.7%
,"WASHINGTON, NY",1081,-,3.1%
,"RUTHERFORD, NC",724,-,1.5%
,"TODD, MN",2283,-,0.569%
,"WILKES, NC",982,-,-
,"CRAVEN, NC",1730,-,1.7%
,"OSCEOLA, MI",1915,-,2.7%
,"PRENTISS, MS",2129,-,2.5%
,"WARREN, NY",826,-,2.9%
,"NOBLES, MN",2910,-,0.481%
,"YAZOO, MS",1925,-,3.8%
,"CHEROKEE, NC",1066,-,1.9%
,"MEADE, KY",1932,-,1.5%
,"BELKNAP, NH",1691,-,1.1%
,"HERTFORD, NC",1829,-,1.9%
,"SENECA, NY",1731,-,0.809%
,"ANDERSON, KY",2109,-,0.948%
,"HENRY, KY",2144,-,1.7%
,"ITAWAMBA, MS",1935,-,1.8%
,"CARVER, MN",1139,-,-
,"CAYUGA, NY",736,-,-
,"STODDARD, MO",1881,-,2%
,"MARTIN, NC",1485,-,1.8%
,"OSWEGO, NY",539,-,-
,"CLAY, KY",2296,-,2.3%
,"LEAKE, MS",2325,-,5%
,"ELKO, NV",1472,-,-
,"GRENADA, MS",2249,-,1.3%
,"KENT, MD",1219,-,1.3%
,"EATON, MI",1665,-,1.7%
,"NESHOBA, MS",2168,-,1.8%
,"PANOLA, MS",1099,-,2.3%
,"SCOTT, MS",2311,-,2.8%
,"CLAY, MS",2020,-,4%
,"BERTIE, NC",1477,-,1.8%
,"CHURCHILL, NV",1866,-,0.589%
,"MARSHALL, MS",922,-,1.2%
,"STANLY, NC",1617,-,-
,"OKTIBBEHA, MS",1303,-,2.8%
,"COVINGTON, MS",1922,-,1.4%
,"WARREN, MS",1563,-,1.2%
,"PINE, MN",1345,-,0.967%
,"YATES, NY",1528,-,-
,"SPENCER, KY",1416,-,2%
,"MENOMINEE, MI",1177,-,1.2%
,"MOORE, NC",2051,0.536%,0.878%
,"SOMERSET, MD",1341,-,3.1%
,"POINTE COUPEE, LA",1663,-,3%
,"ISANTI, MN",1958,-,-
,"HAMPSHIRE, MA",1158,-,-
,"ROSEAU, MN",1706,-,-
,"MUHLENBERG, KY",1325,-,1.4%
,"TISHOMINGO, MS",1423,-,2%
,"GEORGE, MS",1793,-,0.781%
,"NORTHAMPTON, NC",1178,-,2.3%
,"BUFFALO, NE",759,-,-
,"VALENCIA, NM",427,-,-
,"SAINT LOUIS CITY, MO",1203,-,-
,"SANTA FE, NM",256,-,-
,"CHOWAN, NC",1427,-,1.1%
,"DAKOTA, NE",2561,-,2.3%
,"CHRISTIAN, KY",1275,-,1.3%
,"CHICKASAW, MS",1588,-,2.2%
,"DOUGLAS, NV",609,-,-
,"NODAWAY, MO",1390,-,2.7%
,"FULTON, NY",889,-,3%
,"PENNINGTON, MN",1314,-,0.989%
,"HOLMES, MS",1559,-,2.3%
,"ATTALA, MS",1547,-,5.9%
,"CASS, NE",707,-,-
,"SIMPSON, MS",1662,-,1.3%
,"ALCORN, MS",757,-,1.7%
,"MONTGOMERY, NY",1030,-,1.6%
,"HOUSTON, MN",1479,-,-
,"NEWTON, MS",1521,-,2.7%
,"PLAQUEMINES, LA",1338,-,1.3%
,"JEFFERSON DAVIS, LA",1606,-,1.1%
,"EAST FELICIANA, LA",1377,-,2.5%
,"STONE, MS",1644,-,1.9%
,"COPIAH, MS",1294,-,1.3%
,"SCOTTS BLUFF, NE",870,-,-
,"LARUE, KY",1311,-,1.8%
,"GARRARD, KY",1486,-,1.4%
,"GRAYSON, KY",1128,-,1.7%
,"UNION, KY",1369,-,1.5%
,"CALLOWAY, KY",1393,-,1.1%
,"REDWOOD, MN",1497,-,-
,"AVERY, NC",754,-,-
,"CASWELL, NC",879,-,-
,"LEFLORE, MS",2387,-,1.1%
,"JEFFERSON, NY",558,-,-
,"WOODFORD, KY",874,-,1.3%
,"AITKIN, MN",810,-,-
,"PERQUIMANS, NC",1005,-,-
,"LIVINGSTON, MO",1432,-,0.908%
,"POLK, NC",620,-,-
,"GREENE, NC",1259,-,1.7%
,"GRANVILLE, NC",897,-,1.7%
,"TIPPAH, MS",1075,-,1.4%
,"ASSUMPTION, LA",1190,-,2.7%
,"BRECKINRIDGE, KY",1415,-,1.5%
,"WEBSTER, KY",1364,-,2%
,"SAINT FRANCOIS, MO",773,-,-
,"ESTILL, KY",1111,-,1.4%
,"PERRY, MS",1347,-,1.7%
,"WADENA, MN",1518,-,0.725%
,"KOOCHICHING, MN",995,-,1.2%
,"MEEKER, MN",879,-,-
,"ANDREW, MO",891,-,3.3%
,"JOHNSON, MO",367,-,-
,"SAINT CHARLES, MO",496,-,-
,"SALINE, NE",1551,-,1.8%
,"STRAFFORD, NH",1198,-,-
,"LINCOLN, MS",1040,-,1.3%
,"HANCOCK, ME",348,-,-
,"CLARKE, MS",1353,-,1.4%
,"DENT, MO",1078,-,-
,"GRAND TRAVERSE, MI",1063,1.8%,-
,"SOMERSET, ME",914,-,1.9%
,"FRANKLIN, MA",705,-,-
,"DUNKLIN, MO",1026,-,1.6%
,"CATTARAUGUS, NY",339,-,-
,"RICHLAND, MT",1392,-,-
,"CALHOUN, MS",1203,-,2.1%
,"MADISON, NC",669,-,1.9%
,"ASHE, NC",274,-,-
,"BOYLE, KY",984,-,-
,"SAINT JAMES, LA",1209,-,2%
,"TATE, MS",336,-,-
,"COOS, NH",455,-,-
,"CADDO, LA",478,-,-
,"CARTERET, NC",602,-,-
,"COTTONWOOD, MN",1055,-,-
,"LAWRENCE, MS",890,-,2%
,"PERSON, NC",625,-,-
,"MOREHOUSE, LA",872,-,1.5%
,"NEW MADRID, MO",1094,-,1.7%
,"SCHUYLER, NY",876,-,-
,"YALOBUSHA, MS",878,-,1.5%
,"WALTHALL, MS",864,-,3.6%
,"PARK, MT",539,-,-
,"MISSISSIPPI, MO",1299,-,2.7%
,"WARREN, KY",1652,-,-
,"WASHINGTON, NC",936,-,1.5%
,"WAYNE, MO",991,-,1.9%
,"SHIAWASSEE, MI",1199,-,-
,"MERCER, KY",865,-,-
,"ROCK, MN",1021,-,-
,"SAINT MARYS, MD",566,-,-
,"BELL, KY",1041,-,1.5%
,"CAMDEN, NC",726,-,2.1%
,"FARIBAULT, MN",856,-,-
,"BOYD, KY",1035,-,-
,"VANCE, NC",647,-,1.9%
,"CLEARWATER, MN",1029,-,1.1%
,"LETCHER, KY",839,-,2.9%
,"JEFFERSON DAVIS, MS",877,-,3.4%
,"WEBSTER, MS",1031,-,2.2%
,"MARSHALL, MN",1006,-,1.1%
,"MCCREARY, KY",965,-,1.5%
,"JASPER, MS",769,-,2.6%
,"LAKE, MI",607,-,2.1%
,"WASHINGTON, MS",982,-,1.8%
,"LINCOLN, LA",1282,-,1%
,"SAGINAW, MI",717,2.2%,-
,"PLATTE, NE",326,-,-
,"CALVERT, MD",402,-,-
,"GRUNDY, MO",920,-,2.7%
,"GATES, NC",586,-,2%
,"JEFFERSON, MO",2116,-,-
,"HAYWOOD, NC",238,-,-
,"BERKSHIRE, MA",524,-,-
,"CHEYENNE, NE",976,-,-
,"SUSSEX, NJ",269,-,-
,"CARTER, KY",834,-,1.6%
,"JACKSON, MN",778,-,1.9%
,"RICHLAND, LA",883,-,-
,"BATH, KY",1045,-,1.7%
,"CLAY, NC",583,-,2.1%
,"MARTIN, MN",762,-,-
,"CARROLL, KY",1146,-,2%
,"KNOTT, KY",900,-,1.2%
,"CALDWELL, KY",927,-,-
,"MARION, KY",660,-,1.7%
,"RAPIDES, LA",810,1.6%,2.1%
,"LIVINGSTON, KY",811,-,-
,"WAYNE, MS",728,-,-
,"BOLLINGER, MO",799,-,-
,"WINSTON, MS",598,-,-
,"TAYLOR, KY",390,-,-
,"SMITH, MS",817,-,1.7%
,"UNION, LA",706,-,-
,"ROCKCASTLE, KY",524,-,-
,"LYON, MN",781,-,-
,"JACKSON, KY",773,-,1.7%
,"RENVILLE, MN",789,-,1.4%
,"RIPLEY, MO",778,-,-
,"CLINTON, MO",265,-,-
,"ADAMS, MS",418,-,-
,"LAFAYETTE, MO",191,-,-
,"GRANT, KY",1492,-,0.871%
,"SWIFT, MN",816,-,-
,"JEFFERSON, MT",567,-,-
,"HARLAN, KY",535,-,2.1%
,"ANSON, NC",807,-,1.5%
,"WAYNE, NE",793,-,-
,"MONTGOMERY, KY",582,-,1.9%
,"LINCOLN, KY",475,-,-
,"DAWSON, NE",379,-,-
,"PERRY, KY",627,-,-
,"JOHNSON, KY",659,-,2.1%
,"WEST FELICIANA, LA",811,-,2.2%
,"MONTGOMERY, MS",854,-,1.9%
,"ISABELLA, MI",954,-,-
,"MIDLAND, MI",479,-,-
,"MURRAY, MN",666,-,-
,"WILKIN, MN",734,-,1.8%
,"CRAWFORD, MO",556,-,-
,"CLINTON, MI",565,-,-
,"NORMAN, MN",717,-,-
,"ADAIR, KY",645,-,-
,"FLEMING, KY",776,-,-
,"PEMISCOT, MO",710,-,2.8%
,"FRANKLIN, LA",610,-,-
,"BOLIVAR, MS",477,-,-
,"NOXUBEE, MS",704,-,1.6%
,"GREENE, MS",707,-,2.3%
,"HARRISON, KY",415,-,-
,"CARROLL, MS",806,-,1.4%
,"SEWARD, NE",350,-,-
,"EVANGELINE, LA",798,-,1.4%
,"BEAUREGARD, LA",390,-,-
,"SAUNDERS, NE",282,-,-
,"MANISTEE, MI",460,-,-
,"CURRY, NM",880,-,1.3%
,"CHIPPEWA, MN",485,-,-
,"WEXFORD, MI",644,-,-
,"LYON, KY",449,-,-
,"MERRICK, NE",484,-,-
,"TRIMBLE, KY",496,-,4.4%
,"NYE, NV",312,-,-
,"GREENUP, KY",560,-,-
,"DODGE, NE",142,-,-
,"SCOTLAND, NC",496,-,-
,"FILLMORE, MN",454,-,-
,"KEMPER, MS",676,-,3.7%
,"TEXAS, MO",494,-,-
,"RICE, MN",424,-,-
,"ALEXANDER, NC",424,-,-
,"BALLARD, KY",625,-,-
,"HART, KY",543,-,-
,"POWELL, KY",416,-,-
,"YELLOW MEDICINE, MN",487,-,-
,"PUTNAM, NY",364,-,-
,"CASEY, KY",562,-,-
,"AMITE, MS",341,-,-
,"PERRY, MO",255,-,-
,"WASHINGTON, ME",182,-,-
,"MCKINLEY, NM",74,-,-
,"MARIES, MO",538,-,-
,"LACLEDE, MO",1114,-,-
,"COAHOMA, MS",166,-,-
,"GRANT, MN",473,-,-
,"POPE, MN",268,-,-
,"WASHINGTON, KY",346,-,-
,"BREATHITT, KY",518,-,-
,"BARREN, KY",814,-,2.2%
,"MISSOULA, MT",107,-,-
,"SUNFLOWER, MS",497,-,2.8%
,"RICHMOND, NC",642,-,1.7%
,"GREEN, KY",454,-,-
,"LAKE, MN",479,-,-
,"WAYNE, KY",133,-,-
,"LESLIE, KY",570,-,4.9%
,"PIERCE, NE",625,-,-
,"WARREN, NC",271,-,-
,"JASPER, MO",149,-,-
,"DIXON, NE",564,-,-
,"CARTER, MO",644,-,-
,"MARQUETTE, MI",211,-,-
,"CRITTENDEN, KY",578,-,-
,"BAY, MI",291,-,-
,"OTOE, NE",261,-,-
,"MAHNOMEN, MN",631,-,4.3%
,"MACON, NC",143,-,-
,"MAGOFFIN, KY",422,-,-
,"JEFFERSON, NE",592,-,-
,"CEDAR, NE",521,-,-
,"FULTON, KY",503,-,-
,"BENTON, MS",389,-,-
,"BEAVERHEAD, MT",260,-,-
,"MADISON, MT",339,-,-
,"KEITH, NE",429,-,-
,"TALLAHATCHIE, MS",453,-,-
,"EDDY, NM",297,-,-
,"RUSSELL, KY",174,-,-
,"KITTSON, MN",458,-,-
,"CHOCTAW, MS",487,-,-
,"DEKALB, MO",299,-,-
,"ROWAN, KY",323,-,-
,"DICKINSON, MI",287,-,-
,"MCLEOD, MN",194,-,-
,"RAY, MO",132,-,-
,"HUMBOLDT, NV",395,-,-
,"TUNICA, MS",265,-,-
,"GENTRY, MO",355,-,7%
