Session Title,HA1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,,
,"WAYNE, IN",6029,-,1.3%
,"STANISLAUS, CA",2470,-,0.526%
,"BENTON, AR",16317,0.196%,0.454%
,"HENDERSON, KY",10 or fewer,-,-
,"JESSAMINE, KY",10 or fewer,-,-
,"CRAWFORD, AR",4901,-,2.8%
,"SHELBY, KY",10 or fewer,-,-
,"CAMPBELL, KY",10 or fewer,-,-
,"HOPKINS, KY",10 or fewer,-,-
,"SANTA BARBARA, CA",4748,-,0.611%
,"FRANKLIN, KY",10 or fewer,-,-
,"BROOMFIELD, CO",4590,-,0.436%
,"YOLO, CA",4104,-,0.853%
,"SPALDING, GA",4280,-,1.4%
,"HABERSHAM, GA",4948,-,1.5%
,"WHITLEY, KY",10 or fewer,-,-
,"HERNANDO, FL",2527,-,1.3%
,"MUSCATINE, IA",4486,-,1.6%
,"GORDON, GA",3844,-,3.3%
,"NOBLE, IN",4676,-,1.1%
,"NELSON, KY",10 or fewer,-,-
,"EL DORADO, CA",1394,-,2%
,"LEAVENWORTH, KS",1623,-,1%
,"KNOX, IN",3898,-,2.1%
,"WOODFORD, IL",3894,-,0.95%
,"HENRY, IL",3540,-,1.8%
,"VENTURA, CA",1482,-,-
,"CHARLOTTE, FL",4265,0.281%,1.3%
,"ELKHART, IN",4413,-,1.3%
,"CITRUS, FL",2947,-,1.5%
,"CLARKE, GA",3185,-,2.2%
,"WEBSTER, IA",3950,-,2.6%
,"JEFFERSON, AR",5749,-,1.1%
,"MENDOCINO, CA",4214,-,0.522%
,"KOSCIUSKO, IN",4093,-,1.9%
,"HUNTINGTON, IN",3850,-,0.987%
,"FLOYD, GA",2591,-,2%
,"GIBSON, IN",3486,-,1.6%
,"OGLE, IL",3375,-,0.681%
,"BOURBON, KY",10 or fewer,-,-
,"HARRISON, IN",2731,-,2%
,"CARROLL, GA",5373,0.261%,0.893%
,"LAUREL, KY",10 or fewer,-,-
,"WHITLEY, IN",3452,-,0.811%
,"MARSHALL, IN",3171,-,1.5%
,"CLARK, KY",10 or fewer,-,-
,"LIVINGSTON, IL",3243,-,1.4%
,"CRITTENDEN, AR",2952,-,1.6%
,"EFFINGHAM, IL",2887,-,2.4%
,"WARREN, IA",3822,-,1.4%
,"MARSHALL, IA",3565,-,2.3%
,"SARASOTA, FL",1928,-,1.1%
,"ELMORE, ID",4301,-,0.721%
,"CLINTON, IL",2867,-,1.9%
,"DOUGLAS, KS",875,-,-
,"CATOOSA, GA",2830,-,1.7%
,"BUREAU, IL",2740,-,1%
,"WALKER, GA",4045,-,1.2%
,"MERCED, CA",2107,-,0.997%
,"SCOTT, KY",10 or fewer,-,-
,"DEKALB, IL",2196,-,1.1%
,"MANATEE, FL",1393,-,1.1%
,"MARSHALL, KY",10 or fewer,-,-
,"WALTON, GA",5916,0.203%,1%
,"DEARBORN, IN",3780,-,0.714%
,"PULASKI, KY",10 or fewer,-,-
,"HENDRICKS, IN",2474,-,0.97%
,"WABASH, IN",3027,-,1.1%
,"WHITE, GA",2475,-,1.6%
,"LUMPKIN, GA",2388,-,0.963%
,"DAVIESS, KY",10 or fewer,-,-
,"BLAINE, ID",2082,-,0.576%
,"WHITE, AR",3305,0.333%,0.908%
,"RICHMOND, GA",3110,-,1.2%
,"COLUMBIA, FL",3572,-,1.3%
,"COLES, IL",2387,-,0.754%
,"STEPHENS, GA",2965,-,1.6%
,"PAYETTE, ID",2406,-,1.5%
,"COWETA, GA",4588,0.436%,0.785%
,"COFFEE, AL",3505,-,0.999%
,"FAYETTE, GA",3736,-,0.669%
,"MURRAY, GA",2134,-,2.5%
,"GRAVES, KY",10 or fewer,-,-
,"LEVY, FL",2716,-,1.5%
,"CAMDEN, GA",3389,-,1.1%
,"GEARY, KS",2500,-,1.3%
,"STEUBEN, IN",1942,-,0.978%
,"GREENE, AR",2173,-,3.6%
,"DAWSON, GA",3019,-,0.662%
,"PUTNAM, FL",3739,-,1.8%
,"LYON, KS",1973,-,0.862%
,"KNOX, KY",10 or fewer,-,-
,"YAVAPAI, AZ",273,-,-
,"JEROME, ID",2835,-,0.882%
,"NAPA, CA",2889,-,1.8%
,"RILEY, KS",847,-,1.3%
,"NEWTON, GA",5172,-,1.1%
,"CLEBURNE, AR",1435,-,4.3%
,"FLOYD, KY",10 or fewer,-,-
,"BARTON, KS",2475,-,0.929%
,"POSEY, IN",1970,-,0.66%
,"POTTAWATTAMIE, IA",681,-,-
,"GARLAND, AR",2638,-,0.644%
,"ROUTT, CO",1870,-,0.749%
,"MACOUPIN, IL",1579,-,0.823%
,"HOT SPRING, AR",1611,-,2.7%
,"FULTON, IL",1371,-,1.2%
,"LAGRANGE, IN",2266,-,0.706%
,"MEADE, KY",10 or fewer,-,-
,"COLUMBIA, GA",2773,-,0.829%
,"DALE, AL",1280,-,-
,"ROCKDALE, GA",3720,-,0.995%
,"KINGS, CA",800,-,-
,"BENTON, IA",2307,-,0.694%
,"ESCAMBIA, FL",5010,-,0.798%
,"ANDERSON, KY",10 or fewer,-,-
,"HENRY, KY",10 or fewer,-,-
,"WAPELLO, IA",2824,-,1.8%
,"SIOUX, IA",2568,-,0.623%
,"TELLER, CO",1308,-,-
,"FAYETTE, IN",2369,-,1.1%
,"CLAY, KY",10 or fewer,-,-
,"STORY, IA",2285,-,0.963%
,"FRANKLIN, GA",2238,-,1.7%
,"DELAWARE, IN",1392,-,-
,"HENDRY, FL",2898,-,1.8%
,"MAHASKA, IA",1742,-,1.6%
,"BUENA VISTA, IA",2765,-,1%
,"LEON, FL",2413,-,1.5%
,"DES MOINES, IA",2657,-,1.8%
,"JEFFERSON, IN",1751,-,1.7%
,"CLARK, AR",1554,-,1.5%
,"MONTGOMERY, IL",1424,-,2.1%
,"POLK, GA",1923,-,1.6%
,"CLINTON, IA",1973,-,1%
,"SPENCER, KY",10 or fewer,-,-
,"BANKS, GA",1928,-,1.1%
,"WASHINGTON, IN",1273,-,1.1%
,"CHRISTIAN, IL",1299,-,-
,"POPE, AR",1877,-,0.852%
,"ARKANSAS, AR",1891,-,4.4%
,"COCHISE, AZ",1600,-,0.688%
,"WASHINGTON, IA",1928,-,0.882%
,"MUHLENBERG, KY",10 or fewer,-,-
,"DOUGLAS, IL",1765,-,1.1%
,"HART, GA",1529,-,2%
,"POINSETT, AR",1827,-,2.4%
,"JONES, IA",1763,-,1.7%
,"PIATT, IL",1556,-,0.707%
,"SAN BENITO, CA",1801,-,1.1%
,"MORGAN, IN",1249,-,-
,"RICHLAND, IL",1556,-,2.4%
,"POWESHIEK, IA",1394,-,1.1%
,"CHRISTIAN, KY",10 or fewer,-,-
,"BUTTS, GA",1903,-,1.9%
,"WARREN, IL",1746,-,1.3%
,"MISSISSIPPI, AR",1264,-,2.1%
,"OUACHITA, AR",1334,-,3%
,"TUSCALOOSA, AL",1979,-,1.8%
,"OSAGE, KS",1277,-,1%
,"SEDGWICK, KS",357,-,-
,"LATAH, ID",1308,-,0.841%
,"CEDAR, IA",1561,-,1.1%
,"HARDEE, FL",1385,-,2.5%
,"SHASTA, CA",822,-,3.9%
,"SUWANNEE, FL",2007,-,1.4%
,"BRADFORD, FL",1893,-,1.8%
,"FRANKLIN, KS",894,-,-
,"GENEVA, AL",953,-,-
,"MAUI, HI",1904,-,1.5%
,"LEE, IA",1722,-,1.7%
,"BREMER, IA",1596,-,1.3%
,"PLYMOUTH, IA",1580,-,1.2%
,"SHELBY, IL",1155,-,2.9%
,"RIPLEY, IN",1790,-,1.3%
,"BUTTE, CA",257,-,-
,"BAKER, FL",2038,-,1.7%
,"DAVIESS, IN",1069,-,1.8%
,"SCOTT, IN",1145,-,1.7%
,"OCONEE, GA",1540,-,0.779%
,"LARUE, KY",10 or fewer,-,-
,"JEFFERSON, KS",1032,-,-
,"JASPER, IA",1649,-,-
,"GEM, ID",1112,-,1.2%
,"OKALOOSA, FL",3169,0.347%,1%
,"GARRARD, KY",10 or fewer,-,-
,"BOND, IL",951,-,2.9%
,"IOWA, IA",1534,-,-
,"JACKSON, IN",989,-,-
,"MIAMI, IN",1443,-,-
,"GRAYSON, KY",10 or fewer,-,-
,"UNION, KY",10 or fewer,-,-
,"CALLOWAY, KY",10 or fewer,-,-
,"OBRIEN, IA",1661,-,0.963%
,"STEPHENSON, IL",1092,-,-
,"SANTA ROSA, FL",3489,-,0.831%
,"GREENE, GA",823,-,8.1%
,"MONROE, FL",686,-,1.9%
,"GRANT, IN",1162,-,-
,"TAMA, IA",1442,-,1.7%
,"WOODFORD, KY",10 or fewer,-,-
,"VALLEY, ID",989,-,-
,"GRUNDY, IL",1048,-,1.1%
,"MINIDOKA, ID",1166,-,1.8%
,"JENNINGS, IN",1082,-,1.1%
,"BRECKINRIDGE, KY",10 or fewer,-,-
,"WEBSTER, KY",10 or fewer,-,-
,"ELBERT, CO",1447,-,-
,"ESTILL, KY",10 or fewer,-,-
,"LAKE, CA",1064,-,-
,"RABUN, GA",1183,-,1.5%
,"SAN LUIS OBISPO, CA",463,-,-
,"BERRIEN, GA",1398,-,2.5%
,"MIAMI, KS",508,-,-
,"FRANKLIN, IN",1653,-,1%
,"MARSHALL, IL",1168,-,1.5%
,"LA PORTE, IN",456,-,-
,"GOODING, ID",1412,-,0.779%
,"IROQUOIS, IL",1133,-,1.3%
,"ALLAMAKEE, IA",1285,-,1.1%
,"FREMONT, CO",1020,1.1%,-
,"WINNESHIEK, IA",954,-,-
,"FAYETTE, IA",1093,-,1.9%
,"LEE, IL",850,-,-
,"IMPERIAL, CA",190,-,-
,"BOYLE, KY",10 or fewer,-,-
,"UNION, AR",1206,-,1.2%
,"MERCER, IL",1039,-,1.7%
,"SPENCER, IN",1133,-,1.2%
,"BAY, FL",2140,0.701%,1.1%
,"GRANT, AR",1464,-,0.82%
,"ETOWAH, AL",625,-,2.4%
,"WILLIAMSON, IL",108,-,-
,"MUSCOGEE, GA",1936,-,1.4%
,"WHITESIDE, IL",957,-,-
,"SHELBY, IN",732,-,-
,"DEL NORTE, CA",953,-,-
,"HENRY, IN",958,-,1.3%
,"LOGAN, IL",1161,-,1.6%
,"CASSIA, ID",956,-,-
,"POTTAWATOMIE, KS",634,-,-
,"KANKAKEE, IL",640,-,-
,"INDEPENDENCE, AR",1156,-,-
,"LAWRENCE, IL",792,-,-
,"FAYETTE, IL",859,-,2%
,"MASSAC, IL",716,-,-
,"WARREN, KY",10 or fewer,-,-
,"WELLS, IN",1077,-,1.4%
,"MARION, AL",973,-,2.6%
,"BUCHANAN, IA",944,-,-
,"OWYHEE, ID",1203,-,2%
,"MERCER, KY",10 or fewer,-,-
,"BELL, KY",10 or fewer,-,-
,"BOYD, KY",10 or fewer,-,-
,"JACKSON, KS",882,-,-
,"MADISON, GA",1027,-,1.2%
,"MOFFAT, CO",1149,-,1.5%
,"LETCHER, KY",10 or fewer,-,-
,"BOONE, IN",800,-,-
,"CRAWFORD, IL",614,-,-
,"MCCREARY, KY",10 or fewer,-,-
,"PICKENS, GA",1506,-,-
,"DUBOIS, IN",743,-,-
,"CHATTOOGA, GA",694,-,-
,"FORD, IL",883,-,-
,"COCONINO, AZ",94,-,-
,"MARION, IA",1047,-,1.4%
,"JACKSON, IL",99,-,-
,"PIKE, IN",788,-,1.5%
,"MILLER, AR",1055,1%,1%
,"BINGHAM, ID",609,-,-
,"DECATUR, IN",1363,-,-
,"BIBB, GA",1167,-,2.2%
,"UNION, GA",450,-,-
,"HOUSTON, GA",1236,-,1.6%
,"GILCHRIST, FL",1195,-,1.3%
,"MERIWETHER, GA",765,-,-
,"MORGAN, CO",1042,-,1.4%
,"JACKSON, FL",446,-,-
,"ESCAMBIA, AL",1270,-,1%
,"CLAYTON, IA",655,-,-
,"JO DAVIESS, IL",510,-,-
,"HENRY, IA",1050,-,-
,"HUMBOLDT, IA",897,-,-
,"CARTER, KY",10 or fewer,-,-
,"LYON, IA",1066,-,-
,"MORGAN, IL",809,-,-
,"CONWAY, AR",1025,-,-
,"BATH, KY",10 or fewer,-,-
,"CARROLL, KY",10 or fewer,-,-
,"KNOTT, KY",10 or fewer,-,-
,"CALDWELL, KY",10 or fewer,-,-
,"MARION, KY",10 or fewer,-,-
,"GRUNDY, IA",944,-,-
,"MOULTRIE, IL",731,-,-
,"BONNEVILLE, ID",743,-,-
,"LIVINGSTON, KY",10 or fewer,-,-
,"NEVADA, CA",311,-,-
,"CHOCTAW, AL",758,-,2.9%
,"DIXIE, FL",795,-,-
,"TAYLOR, KY",10 or fewer,-,-
,"DREW, AR",768,-,2.1%
,"WASHINGTON, ID",599,-,-
,"ADAMS, IN",798,-,-
,"ROCKCASTLE, KY",10 or fewer,-,-
,"CROSS, AR",960,-,1.6%
,"MCDONOUGH, IL",697,-,-
,"JOHNSON, AR",815,-,-
,"JACKSON, KY",10 or fewer,-,-
,"CHATHAM, GA",556,-,-
,"MASON, IL",721,-,1.5%
,"DELAWARE, IA",644,-,-
,"HENRY, AL",304,-,-
,"HARALSON, GA",1303,-,0.844%
,"OKEECHOBEE, FL",897,-,-
,"JACKSON, IA",748,-,-
,"LANIER, GA",940,-,2.8%
,"KEOKUK, IA",824,-,-
,"VAN BUREN, AR",574,-,-
,"COOK, GA",808,-,1.4%
,"RANDOLPH, IN",705,-,-
,"GRANT, KY",10 or fewer,-,-
,"LOUISA, IA",955,-,1.7%
,"GARFIELD, CO",890,-,-
,"HARLAN, KY",10 or fewer,-,-
,"LOGAN, AR",740,-,1.5%
,"CALHOUN, AL",309,-,-
,"BUTLER, IA",803,-,2.6%
,"LASSEN, CA",381,-,-
,"MONTGOMERY, KY",10 or fewer,-,-
,"PUTNAM, GA",494,-,6.5%
,"JASPER, IL",709,-,9%
,"LINCOLN, KY",10 or fewer,-,-
,"JEFFERSON, IA",536,-,-
,"PERRY, KY",10 or fewer,-,-
,"PIKE, GA",779,-,-
,"WRIGHT, IA",715,-,2.1%
,"LAMAR, GA",708,-,-
,"JOHNSON, KY",10 or fewer,-,-
,"JASPER, IN",360,-,-
,"KODIAK ISLAND, AK",1053,-,-
,"UNION, FL",944,-,1.3%
,"CLAY, IL",568,-,-
,"BROOKS, GA",674,-,-
,"GILMER, GA",775,-,-
,"STARKE, IN",575,-,-
,"JEFFERSON, AL",428,-,-
,"DADE, GA",767,-,-
,"MADISON, IA",845,-,1.3%
,"BARBOUR, AL",273,-,-
,"CALHOUN, IA",609,-,2.3%
,"ALLEN, KS",305,-,-
,"FANNIN, GA",480,-,-
,"LAWRENCE, AR",676,-,-
,"ANDERSON, KS",585,-,-
,"SAC, IA",645,-,1.9%
,"FRANKLIN, AR",797,-,1.5%
,"CHAMBERS, AL",227,-,-
,"PERRY, AR",598,-,-
,"UNION, IN",679,-,-
,"CASS, IN",674,-,-
,"EAGLE, CO",601,-,-
,"SAINT FRANCIS, AR",456,-,-
,"ADAIR, KY",10 or fewer,-,-
,"PITKIN, CO",402,-,-
,"FLEMING, KY",10 or fewer,-,-
,"WHITE, IL",388,-,-
,"MOHAVE, AZ",140,-,-
,"FRANKLIN, IL",43,-,-
,"HARRIS, GA",480,-,-
,"HARRISON, KY",10 or fewer,-,-
,"COLUMBIA, AR",894,-,1.6%
,"POCAHONTAS, IA",657,-,2.1%
,"LAMAR, AL",563,-,-
,"ASHLEY, AR",563,-,-
,"TOWNS, GA",293,-,-
,"EDGAR, IL",539,-,-
,"SISKIYOU, CA",506,-,8.1%
,"ELBERT, GA",591,-,1.9%
,"SALINE, IL",225,-,-
,"CRAWFORD, IN",422,-,-
,"BROWN, IN",361,-,-
,"YUBA, CA",551,-,-
,"GLYNN, GA",709,-,-
,"BOONE, IA",697,-,1.6%
,"LYON, KY",10 or fewer,-,-
,"TRIMBLE, KY",10 or fewer,-,-
,"OTERO, CO",605,-,-
,"GREENUP, KY",10 or fewer,-,-
,"SANTA CRUZ, AZ",667,-,-
,"THOMAS, KS",751,-,-
,"WABASH, IL",449,-,-
,"LOGAN, CO",455,-,-
,"CLARKE, AL",122,-,-
,"CERRO GORDO, IA",576,-,-
,"PRAIRIE, AR",580,-,-
,"PICKENS, AL",486,-,-
,"BALLARD, KY",10 or fewer,-,-
,"CHEROKEE, IA",531,-,2.1%
,"PHILLIPS, AR",486,-,-
,"HART, KY",10 or fewer,-,-
,"POWELL, KY",10 or fewer,-,-
,"ATCHISON, KS",151,-,-
,"MONROE, AR",510,-,3.5%
,"CASEY, KY",10 or fewer,-,-
,"JERSEY, IL",344,-,-
,"CUMBERLAND, IL",502,-,-
,"WASHINGTON, AL",242,-,-
,"UNION, IL",270,-,-
,"JACKSON, AR",527,-,-
,"PERRY, IN",492,-,-
,"MONROE, IN",142,-,-
,"STARK, IL",609,-,2%
,"MORGAN, GA",613,-,-
,"SHARP, AR",472,-,-
,"DEKALB, IN",401,-,-
,"MARION, IL",287,-,-
,"RANDOLPH, AR",559,-,2.3%
,"CALAVERAS, CA",174,-,-
,"RANDOLPH, IL",88,-,-
,"WASHINGTON, KY",10 or fewer,-,-
,"BREATHITT, KY",10 or fewer,-,-
,"MONROE, AL",169,-,-
,"BARREN, KY",10 or fewer,-,-
,"CLAY, AR",608,-,2.3%
,"GREEN, KY",10 or fewer,-,-
,"WAYNE, KY",10 or fewer,-,-
,"SUMTER, AL",663,-,2.6%
,"MONTROSE, CO",477,-,-
,"BOISE, ID",375,-,-
,"LESLIE, KY",10 or fewer,-,-
,"PUTNAM, IL",454,-,-
,"SUTTER, CA",333,-,-
,"FULTON, IN",306,-,-
,"DELTA, CO",404,-,-
,"LEE, AL",339,-,-
,"HAMILTON, IA",548,-,-
,"YUMA, AZ",85,-,-
,"NEVADA, AR",413,-,-
,"HARDIN, IA",475,-,-
,"WABAUNSEE, KS",412,-,-
,"CRITTENDEN, KY",10 or fewer,-,-
,"DECATUR, IA",549,-,2.7%
,"GRAND, CO",382,-,-
,"JACKSON, AL",361,-,-
,"YELL, AR",562,-,-
,"HAMILTON, FL",658,-,-
,"MAGOFFIN, KY",10 or fewer,-,-
,"HEMPSTEAD, AR",621,-,1.8%
,"APPANOOSE, IA",426,-,-
,"COFFEY, KS",249,-,-
,"FULTON, KY",10 or fewer,-,-
,"JOHNSON, IL",198,-,-
,"MADISON, FL",502,-,-
,"CARROLL, IL",343,-,-
,"UPSON, GA",528,-,-
,"CHEROKEE, AL",142,-,-
,"BEAR LAKE, ID",512,-,-
,"WALTON, FL",643,-,-
,"NEMAHA, KS",224,-,-
,"RUSSELL, KY",10 or fewer,-,-
,"HENDERSON, IL",450,-,2.4%
,"PARK, CO",395,-,-
,"TIPPECANOE, IN",210,-,-
,"ROWAN, KY",10 or fewer,-,-
,"LAS ANIMAS, CO",315,-,-
,"TUOLUMNE, CA",244,-,-
,"DONIPHAN, KS",316,-,3.8%
,"MENARD, IL",497,-,-
,"AMADOR, CA",158,-,-
,"HANCOCK, IL",484,-,-
,"MONONA, IA",322,-,-
,"PAGE, IA",90,-,-
,"RANDOLPH, AL",186,-,-
,"GILA, AZ",90,-,-
,"OGLETHORPE, GA",383,-,-
,"BROWN, KS",164,-,-
,"POWER, ID",343,-,-
,"TIPTON, IN",407,-,-
