Session Title,"C01. HbA1c 7%, BMI 30, and Number, by state, age",,,
Washington,Less than 10 years,174325,0.06%,0.636%
,? 10 and < 15 years,75050,0.294%,6.8%
,? 15 and < 20 years,93548,0.47%,16.1%
,? 20 and < 40 years,536470,1.4%,31.8%
,? 40 and < 65 years,618211,6.8%,42.6%
,65 years or more,441407,11.2%,40.1%
,No value,10 or fewer,-,-
,Total,1939016,5.1%,32.6%
Iowa,Less than 10 years,230245,0.155%,1.2%
,? 10 and < 15 years,110927,0.645%,9.1%
,? 15 and < 20 years,119546,0.915%,21.5%
,? 20 and < 40 years,470874,2%,46.2%
,? 40 and < 65 years,540223,9.6%,59.4%
,65 years or more,421645,14.1%,54.4%
,No value,17,-,-
,Total,1893477,6.5%,42.6%
Oregon,Less than 10 years,163873,0.239%,0.768%
,? 10 and < 15 years,91999,0.827%,7.1%
,? 15 and < 20 years,109765,1.1%,17.3%
,? 20 and < 40 years,476372,1.6%,31.2%
,? 40 and < 65 years,538521,7.5%,42.7%
,65 years or more,392949,11.7%,42.2%
,No value,10 or fewer,-,-
,Total,1773488,5.4%,32.2%
Arizona,Less than 10 years,115590,0.088%,0.626%
,? 10 and < 15 years,66077,0.242%,4.8%
,? 15 and < 20 years,77194,0.5%,12.6%
,? 20 and < 40 years,410017,1.5%,34.2%
,? 40 and < 65 years,518628,6.8%,43.6%
,65 years or more,457892,8.5%,37%
,No value,10 or fewer,-,-
,Total,1645399,4.9%,33.4%
Tennessee,Less than 10 years,131370,0.11%,1.3%
,? 10 and < 15 years,51659,0.507%,10.8%
,? 15 and < 20 years,63932,0.843%,23.7%
,? 20 and < 40 years,340373,1.7%,45.6%
,? 40 and < 65 years,478117,8%,55.1%
,65 years or more,400720,11.1%,45.6%
,No value,20,-,55%
,Total,1466191,6.1%,42.5%
Oklahoma,Less than 10 years,169466,0.172%,1.6%
,? 10 and < 15 years,71152,0.855%,11%
,? 15 and < 20 years,79340,1.3%,23.5%
,? 20 and < 40 years,301551,2.1%,47.6%
,? 40 and < 65 years,402112,10%,56.8%
,65 years or more,315204,13.9%,49%
,No value,11,-,-
,Total,1338836,6.9%,41.5%
Arkansas,Less than 10 years,179017,0.151%,1.3%
,? 10 and < 15 years,74745,0.784%,10.3%
,? 15 and < 20 years,81680,1.4%,24.2%
,? 20 and < 40 years,267474,2.3%,49.9%
,? 40 and < 65 years,361898,9.6%,59.4%
,65 years or more,292292,12.4%,50.1%
,No value,12,-,-
,Total,1257118,6.3%,41.7%
Nevada,Less than 10 years,100412,0.123%,1.2%
,? 10 and < 15 years,50556,0.34%,8.2%
,? 15 and < 20 years,58115,0.482%,18.6%
,? 20 and < 40 years,328097,0.977%,35.4%
,? 40 and < 65 years,379743,4.8%,43.5%
,65 years or more,235840,7.8%,38.8%
,No value,10 or fewer,-,-
,Total,1152765,3.5%,33.7%
Missouri,Less than 10 years,90667,0.034%,1.4%
,? 10 and < 15 years,45786,0.173%,8.8%
,? 15 and < 20 years,56225,0.327%,21.9%
,? 20 and < 40 years,288760,1.9%,43.4%
,? 40 and < 65 years,365785,9.2%,56.2%
,65 years or more,305524,14%,50.9%
,No value,10 or fewer,-,-
,Total,1152753,7.1%,43.7%
West Virginia,Less than 10 years,109585,0.121%,1.7%
,? 10 and < 15 years,54805,0.489%,12.1%
,? 15 and < 20 years,59983,0.862%,26.4%
,? 20 and < 40 years,230098,2.2%,51.6%
,? 40 and < 65 years,337748,11.1%,62.4%
,65 years or more,290765,16%,53.8%
,No value,10 or fewer,-,-
,Total,1082988,8.3%,47.1%
Idaho,Less than 10 years,115694,0.175%,0.905%
,? 10 and < 15 years,55427,0.597%,6.8%
,? 15 and < 20 years,63319,0.872%,17.4%
,? 20 and < 40 years,246266,1.9%,40.5%
,? 40 and < 65 years,307723,8.1%,51.4%
,65 years or more,243383,13.7%,49.2%
,No value,10 or fewer,-,-
,Total,1031817,6.2%,38.1%
Kansas,Less than 10 years,70707,0.099%,1.1%
,? 10 and < 15 years,35169,0.378%,8.6%
,? 15 and < 20 years,47325,0.581%,20.1%
,? 20 and < 40 years,234659,1.8%,42%
,? 40 and < 65 years,309843,8.3%,53.9%
,65 years or more,267002,13.1%,50.7%
,No value,14,-,-
,Total,964719,6.8%,42.9%
Nebraska,Less than 10 years,62933,0.057%,1.1%
,? 10 and < 15 years,28332,0.314%,7.5%
,? 15 and < 20 years,40044,0.467%,19.4%
,? 20 and < 40 years,219635,2%,44.3%
,? 40 and < 65 years,260136,8.7%,57%
,65 years or more,238667,12.3%,51.6%
,No value,10 or fewer,-,-
,Total,849752,6.7%,44.6%
Maine,Less than 10 years,67941,0.184%,1.2%
,? 10 and < 15 years,34788,0.604%,8.8%
,? 15 and < 20 years,39007,0.859%,20.2%
,? 20 and < 40 years,176022,1.9%,39%
,? 40 and < 65 years,262923,8.4%,50.4%
,65 years or more,255917,13.8%,46.9%
,No value,10 or fewer,-,-
,Total,836607,7.3%,39.8%
Utah,Less than 10 years,96516,0.023%,0.286%
,? 10 and < 15 years,52051,0.069%,2.9%
,? 15 and < 20 years,58148,0.237%,8.8%
,? 20 and < 40 years,224024,1.5%,29.6%
,? 40 and < 65 years,218900,6.2%,42.3%
,65 years or more,138043,9.3%,39.5%
,No value,10 or fewer,-,-
,Total,787682,3.8%,28%
North Dakota,Less than 10 years,83078,0.123%,0.662%
,? 10 and < 15 years,39173,0.467%,7.6%
,? 15 and < 20 years,38984,0.736%,19.3%
,? 20 and < 40 years,173294,1.8%,44.3%
,? 40 and < 65 years,183738,8.6%,59.2%
,65 years or more,136766,14.5%,56%
,No value,10 or fewer,-,-
,Total,655035,6%,41.7%
Alabama,Less than 10 years,43370,0.051%,1.2%
,? 10 and < 15 years,17588,0.398%,11.8%
,? 15 and < 20 years,23606,0.75%,23.4%
,? 20 and < 40 years,136370,2.3%,47%
,? 40 and < 65 years,232615,9.3%,56.8%
,65 years or more,200272,13.2%,48%
,No value,13,-,-
,Total,653834,7.9%,45.9%
New Hampshire,Less than 10 years,54277,0.205%,0.711%
,? 10 and < 15 years,27458,0.812%,7.5%
,? 15 and < 20 years,32538,1.1%,17.9%
,? 20 and < 40 years,130394,1.7%,37.9%
,? 40 and < 65 years,193864,7.2%,50.8%
,65 years or more,183638,11%,44.7%
,No value,10 or fewer,-,-
,Total,622171,6%,38.3%
Hawaii,Less than 10 years,63375,0.11%,0.685%
,? 10 and < 15 years,29603,0.517%,6.3%
,? 15 and < 20 years,31525,0.891%,13.7%
,? 20 and < 40 years,112899,1.8%,33%
,? 40 and < 65 years,158032,7.8%,37.8%
,65 years or more,134331,11.7%,29.5%
,No value,10 or fewer,-,-
,Total,529765,5.8%,27.1%
Delaware,Less than 10 years,80858,0.146%,1.3%
,? 10 and < 15 years,37271,0.555%,10.7%
,? 15 and < 20 years,40002,1.1%,24.5%
,? 20 and < 40 years,105426,2.1%,47.8%
,? 40 and < 65 years,132024,10.8%,58.3%
,65 years or more,124395,16%,50.2%
,No value,10 or fewer,-,-
,Total,519982,7.1%,39.4%
South Dakota,Less than 10 years,62527,0.131%,0.669%
,? 10 and < 15 years,29661,0.485%,6.3%
,? 15 and < 20 years,31200,0.891%,16.7%
,? 20 and < 40 years,122942,1.7%,38.6%
,? 40 and < 65 years,137179,8%,51.1%
,65 years or more,106360,13.1%,48.1%
,No value,10 or fewer,-,-
,Total,489870,5.6%,36%
Vermont,Less than 10 years,31285,0.198%,0.726%
,? 10 and < 15 years,16144,0.811%,6.2%
,? 15 and < 20 years,19646,1%,15.7%
,? 20 and < 40 years,94428,1.3%,32.4%
,? 40 and < 65 years,143293,4.8%,43.7%
,65 years or more,133198,8%,41.4%
,No value,10 or fewer,-,-
,Total,437996,4.4%,34.9%
Montana,Less than 10 years,34307,0.093%,0.749%
,? 10 and < 15 years,15269,0.373%,4.9%
,? 15 and < 20 years,18835,0.51%,13.5%
,? 20 and < 40 years,98290,1.1%,29.8%
,? 40 and < 65 years,103934,4.8%,42.2%
,65 years or more,83405,8%,38.4%
,No value,10 or fewer,-,-
,Total,354045,3.7%,30.7%
New Mexico,Less than 10 years,15341,-,1.3%
,? 10 and < 15 years,6737,-,7.9%
,? 15 and < 20 years,9814,0.265%,18%
,? 20 and < 40 years,74850,1.7%,41.1%
,? 40 and < 65 years,107096,7.3%,47.8%
,65 years or more,109500,8.8%,36.7%
,No value,10 or fewer,-,-
,Total,323339,5.8%,38.6%
Wyoming,Less than 10 years,21205,0.156%,0.618%
,? 10 and < 15 years,9272,0.669%,5.9%
,? 15 and < 20 years,10598,0.859%,15.4%
,? 20 and < 40 years,40174,1.8%,39.6%
,? 40 and < 65 years,53971,7.8%,51.6%
,65 years or more,53612,11.9%,45.7%
,No value,10 or fewer,-,-
,Total,188832,6.1%,37.4%
Rhode Island,Less than 10 years,16694,-,1.4%
,? 10 and < 15 years,8421,0.154%,12.1%
,? 15 and < 20 years,9512,0.473%,20.8%
,? 20 and < 40 years,49539,1.6%,36.5%
,? 40 and < 65 years,54980,8.3%,49.1%
,65 years or more,45636,11.3%,43.1%
,No value,10 or fewer,-,-
,Total,184783,5.7%,36.8%
District of Columbia,Less than 10 years,2528,-,1.1%
,? 10 and < 15 years,970,-,6.2%
,? 15 and < 20 years,2042,-,10.4%
,? 20 and < 40 years,64679,0.968%,25.7%
,? 40 and < 65 years,53707,4.6%,38.9%
,65 years or more,29743,7.1%,34.7%
,No value,10 or fewer,-,-
,Total,153670,3.4%,31.3%
Puerto Rico,Less than 10 years,7255,-,2.9%
,? 10 and < 15 years,3795,-,13.4%
,? 15 and < 20 years,4053,-,22.6%
,? 20 and < 40 years,15277,1.2%,43.9%
,? 40 and < 65 years,21377,7.3%,56.7%
,65 years or more,12317,9.2%,41.2%
,No value,10 or fewer,-,-
,Total,64074,4.5%,39.9%
Alaska,Less than 10 years,1532,-,-
,? 10 and < 15 years,669,-,5.4%
,? 15 and < 20 years,808,-,15.1%
,? 20 and < 40 years,4426,0.926%,31.5%
,? 40 and < 65 years,4633,6.4%,44.7%
,65 years or more,4770,8.5%,37.7%
,No value,10 or fewer,-,-
,Total,16838,4.5%,32.2%
Virgin Islands,Less than 10 years,90,-,-
,? 10 and < 15 years,51,-,-
,? 15 and < 20 years,70,-,-
,? 20 and < 40 years,518,-,30.7%
,? 40 and < 65 years,2558,7.8%,49%
,65 years or more,2850,12%,33.4%
,No value,10 or fewer,-,-
,Total,6137,9%,38.8%
Armed Forces Africa,Less than 10 years,137,-,-
,? 10 and < 15 years,77,-,-
,? 15 and < 20 years,74,-,-
,? 20 and < 40 years,328,-,29.9%
,? 40 and < 65 years,937,2.2%,36.3%
,65 years or more,77,-,37.7%
,No value,10 or fewer,-,-
,Total,1630,1.8%,28.9%
Armed Forces Pacific,Less than 10 years,104,-,-
,? 10 and < 15 years,47,-,-
,? 15 and < 20 years,46,-,-
,? 20 and < 40 years,211,-,28.4%
,? 40 and < 65 years,451,-,41.5%
,65 years or more,55,-,30.9%
,No value,10 or fewer,-,-
,Total,914,2.1%,29.5%
None of the above,Less than 10 years,77711,0.103%,0.779%
,? 10 and < 15 years,36946,0.482%,6%
,? 15 and < 20 years,41313,0.731%,14.8%
,? 20 and < 40 years,294829,1.4%,31.1%
,? 40 and < 65 years,308754,6.1%,41.4%
,65 years or more,206431,9.6%,39.5%
,No value,10 or fewer,-,-
,Total,965985,4.5%,32.1%
Total,Less than 10 years,14087871,0.114%,1.1%
,? 10 and < 15 years,6655577,0.476%,8.5%
,? 15 and < 20 years,7635114,0.77%,19.6%
,? 20 and < 40 years,34327118,1.7%,40.9%
,? 40 and < 65 years,43816532,8.4%,52.2%
,65 years or more,33924312,13.1%,46.9%
,No value,863,16.1%,45%
,Total,140447387,6.3%,39.2%
