Session Title,Percentage with Hemoglobin A1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,
Ohio,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.092%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.917%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.423%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.652%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),21.1%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),11.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),59.8%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),17.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.9%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),8.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.5%
Mississippi,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.101%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.9%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.643%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),13.2%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),26.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.4%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),11.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),61.8%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),16.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),52.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),61.1%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),8.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.6%
Kentucky,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.157%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.4%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.693%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),11.4%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),25.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),10.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),60.2%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),16.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),52.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.7%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.6%
Kansas,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.098%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.385%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.578%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.1%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.8%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.8%
South Carolina,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.139%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.4%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.589%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),22.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.6%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.6%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.8%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.2%
Nebraska,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.058%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.308%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.46%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.2%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),57%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),12.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.6%
Alabama,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.049%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.405%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),11.7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.748%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),23.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.8%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),56.6%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.9%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.8%
Louisiana,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.091%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.8%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.417%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.705%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),22.1%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),57.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),15%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.1%
Indiana,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.072%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.294%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.562%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),23%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),11%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),60.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),17%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45%
Oklahoma,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.171%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.6%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.856%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),11%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),23.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47.6%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),10%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),56.8%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.5%
Missouri,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.033%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.4%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.174%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.8%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.335%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),21.9%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.2%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),56%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.6%
Michigan,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.199%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.612%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),9.3%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.867%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),54.9%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),15.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),50.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.4%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42%
Marshall Islands,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),41.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),25.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.2%
Iowa,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.151%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.648%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),9.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.922%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),21.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.1%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),59.3%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),54.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.5%
Pennsylvania,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.081%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.303%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.488%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.5%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.5%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48.3%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.2%
North Carolina,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.111%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.541%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),9%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.886%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),20.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),9.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.9%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),15%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.5%
New Jersey,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.11%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.5%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.555%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),9.6%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.78%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.1%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),49.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.9%
Virginia,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.133%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.552%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.822%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.2%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),54.5%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),14.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),48.8%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.1%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.4%
Illinois,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.112%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.463%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),9.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.778%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),21.6%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),10.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55.6%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),15.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.4%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.7%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),7.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.1%
Tennessee,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.109%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.511%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.7%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.856%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),23.6%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),55%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.1%
